22000 12292
21105 9274 21862
18683 2527 22047
20057 15691 12394
6221 12223 13420
6104 1448 237
6113 554 22597
1136 15134 8860
2920 8193 14121
9600 18642 22933
10644 4234 22810
779 4820 24472
15103 2550 33752
18129 10071 37743
20022 16875 30347
17991 216 8670
16468 21363 25671
19437 7640 41873
9192 20677 34162
19906 10914 29399
6100 144 22967
1031 20200 21379
11611 4002 39171
16076 20847 26068
20671 19508 27094
8012 20234 38857
15108 21084 30942
12551 19412 332
12062 13983 32317
17779 7853 11225
5163 21355 38414
5329 3847 33968
10025 21009 32620
10070 21985 35848
18286 7758 13583
1052 13910 1726
8617 1475 3322
12492 3234 37833
17364 7095 17017
16670 16031 20099
8671 15244 11559
1779 2486 42423
15367 18716 27024
13121 14543 5237
11253 306 21720
15891 5694 17373
17045 6545 2066
18040 21714 38755
519 10034 11534
8215 1454 25522
5056 4187 18695
9413 6033 35270
16685 12817 18451
4340 14551 31012
19618 4273 25444
14298 11028 43950
14236 18355 12061
6842 3593 25313
18635 4061 28379
6713 2387 34320
6831 16992 8470
7444 5977 31247
9686 5614 35971
10465 19824 16735
7938 6263 43075
16163 8405 6335
14273 5508 4960
9064 5656 32759
14553 21974 21237
17080 5714 14266
7587 11612 9535
9879 7626 29016
7967 5023 14613
9087 5862 41224
6919 1017 13706
7567 18734 22036
3662 5677 17390
5739 21933 41923
20066 1131 24945
16909 12043 6718
6186 11456 36798
8310 17948 31171
6337 8834 9998
223 5854 25971
13483 17275 12916
17276 2591 2031
5101 12929 1196
2413 18194 12193
6703 20787 4450
405 12223 5892
20045 6082 27453
9330 17869 32869
20466 5029 8608
17659 4334 7580
18055 15161 4349
20029 14051 5898
6201 10685 16569
2931 3238 33144
16568 15259 41489
16652 9181 26079
7588 6871 26258
15021 537 33471
2861 12923 13959
8887 990 36216
21192 3917 30754
4264 17832 38544
9927 16716 934
2281 21252 8844
20367 21806 36507
18660 6417 27034
20296 16365 33492
9912 12764 31457
17876 5314 9668
1858 12514 27190
1423 20902 18376
21629 18683 40699
13030 15652 30743
9029 17411 14395
15771 8220 13302
18666 1158 2932
7675 807 11334
16982 19302 38230
18915 19833 17682
4255 13697 15581
19893 8461 17609
21135 17592 21558
19489 12838 43110
3304 2715 594
10913 5104 21648
2410 18992 31697
4892 21438 389
11173 11653 22791
13448 6390 27809
3828 652 36688
8601 17154 25876
8582 2430 20621
18410 15861 33051
18680 8043 26168
19246 10166 30874
3275 3357 2173
16061 10252 4863
7963 17088 34805
17156 2405 44000
5099 8995 8571
9272 4257 7367
6082 14374 3938
10773 9504 17536
15375 6115 15308
17145 9370 20947
16619 11333 13208
10382 8039 11014
20331 18696 23404
3292 13016 15030
2082 8094 39171
9849 21871 9649
17864 16365 20752
15774 13130 14179
2910 6107 19599
9024 17266 1457
20475 10441 13314
19935 1014 154
20364 20260 29673
19441 6900 15115
9096 18451 33066
15948 3465 32304
17910 5006 5254
5982 15771 14717
14830 19615 43670
8562 1827 15710
18432 17250 41884
18006 3749 25436
18905 14505 32230
11427 21048 1390
13940 10011 708
9278 4005 2720
5644 2830 3681
14433 9075 20018
8868 17383 7572
9624 11509 36713
725 19520 40140
18735 8335 30341
15035 7772 29391
20030 13239 5678
13892 15283 16452
20483 13012 25092
13986 4218 40399
15395 20001 2750
21374 11129 27132
6772 2689 28917
15823 13584 40025
12675 16098 28487
3635 10058 38115
20493 19255 40043
6198 11688 38741
4894 194 43123
7926 15155 21542
20326 16393 9976
2730 2210 8438
21856 13375 11277
17124 9656 4008
21772 8033 23256
5320 14483 11907
21891 1636 18365
18288 19251 37957
19925 7162 31939
10561 7569 20388
18538 19593 25554
3941 19980 43219
13220 4702 34757
16415 4899 26475
5546 4553 41525
16347 1919 40166
20091 12469 34670
15641 11691 11627
7794 8063 36405
20729 20046 32928
12762 5444 26933
21949 13721 7625
11943 4726 16848
1268 7557 12362
18610 19401 28456
18011 16734 26034
11970 20944 26926
11910 4566 10322
9258 19704 35559
15699 1890 42983
10072 8766 4474
9210 12011 14753
10784 13106 16455
7214 5875 27286
6216 11658 30919
4136 4618 32094
11636 15929 23532
3854 8465 676
15374 3845 1037
20592 8610 14850
9528 16204 38865
16585 5914 2991
18509 13093 33789
21120 8153 273
16391 5507 12218
18032 11226 11914
19575 6667 39327
21461 310 12123
19786 20288 32808
17133 516 34304
5269 10733 25253
21714 19254 40878
11219 1860 33494
21882 18458 30277
12150 20817 14675
8394 20557 10510
2426 5479 3337
15365 9732 9498
114 9988 28616
15470 5915 13397
1914 19259 3262
4426 8356 6613
8973 7923 6738
6927 18682 13644
5153 421 31657
338 13349 29517
13180 697 15956
20739 13470 8134
15411 8161 681
109 6094 21558
6901 20783 34817
403 3663 12632
3183 12742 37728
15106 1493 24908
16197 11844 28008
601 9823 6898
19844 1722 26150
14377 3338 722
8946 17887 10949
7152 3335 34281
15851 11794 5991
16423 9366 26880
598 17642 41540
13966 16431 39382
21761 12913 21047
20291 14066 1417
8293 9523 9207
14024 11147 14478
3037 8493 643
8466 17585 8669
9064 21903 17033
16412 11807 15896
9908 17536 15669
5362 17310 12085
3377 5031 33571
10517 11520 13283
13969 11162 37290
15867 20704 17286
10033 3957 11221
1474 10767 22711
21643 19447 32475
19423 20607 15261
839 15428 26311
8407 10998 1798
6923 632 35602
3239 2515 4586
17401 14799 5705
6008 10858 1162
8175 14301 22140
260 6533 34057
2249 3913 25109
2979 19102 4086
15261 868 15905
6377 3547 13739
8518 20673 21065
18922 5675 28926
21075 7153 35010
9244 14967 29453
13846 3026 30384
14084 21171 43405
934 10605 6567
10461 1754 4038
13009 12246 32643
18685 9706 25047
19863 3341 12504
5141 14738 8194
957 3190 30318
18276 3194 19544
11317 18991 34843
7802 13709 25287
749 15412 7685
260 17243 31282
8128 20485 1192
10996 5965 32328
15700 16339 1737
15494 20973 28336
5752 7904 434
18517 11841 22712
5838 9380 9972
6169 19321 19212
9468 10714 20484
7109 6567 15637
6037 15961 27411
995 20090 10594
9125 17776 29694
3198 4438 7484
18399 368 163
6460 5221 3157
21304 13247 9093
18324 10567 23554
13332 19337 32576
4944 13274 5299
16117 19358 22192
17035 1738 40022
14308 18042 8498
21966 11376 29424
1938 15135 40194
10567 18716 27966
18384 1650 11888
11671 6091 18174
216 18619 40484
8226 5301 164
15138 17273 9878
21144 21533 20721
14505 19259 24517
10007 7929 18559
9254 17471 31496
4873 12561 6549
7870 4214 804
4780 16344 20356
10503 21916 8227
21360 1371 12016
13844 12514 37379
12761 6531 2501
7596 5641 4322
9640 5265 40457
21663 18647 25393
1440 12539 22119
12830 3711 13256
8863 16508 15616
3809 2360 22458
13875 18672 10757
7748 19123 8809
21728 1952 43833
6583 6680 23451
7906 8379 8589
15920 18506 43832
16680 6880 20855
10873 1881 1652
9574 7727 27171
19884 12097 42777
15400 5461 37564
11501 7646 39393
9238 9429 37355
17580 11886 11787
7009 19654 4095
7843 18519 11687
1307 2278 33893
19455 20067 9239
1248 2770 23081
7297 17625 36001
2827 18714 20984
9313 10632 15404
21932 17512 92
9556 9516 11320
21410 3308 16034
6914 13145 24507
7515 5501 16831
3044 5718 27537
16723 4414 35660
17210 15897 39217
14284 11147 25682
16296 2608 17181
12051 7108 11636
1475 13163 42474
12810 17670 16220
14242 7448 38608
109 5127 40602
534 21961 36944
9157 2184 41374
21160 21999 43578
6739 5525 38051
2062 5047 12587
2203 1201 5056
2631 17227 32830
19615 4570 39763
20285 1641 36691
18279 14228 16081
18127 759 8780
12819 527 12518
4050 12276 5520
18307 2282 12866
3155 5074 41002
12600 21291 23896
3795 20529 22299
17439 5189 4275
4276 14175 4136
19233 5775 28172
5085 2671 25334
21492 1317 18589
1506 805 2611
20429 21783 21781
3505 7156 26253
18659 5129 744
9522 12366 31579
2114 3789 19422
21877 18041 25631
19640 1842 9579
18431 10228 23518
13370 13850 10241
12242 11320 10648
10925 18532 1589
21458 16983 17520
4610 4812 16831
4180 18775 25827
9734 19788 20565
19006 18737 26417
995 10719 40505
10195 20595 29112
5049 10887 20112
9641 342 12060
9487 3812 36468
2213 1733 43189
16312 15419 1087
6186 2203 22556
4575 20348 3822
15551 10356 17636
15336 982 33953
20440 15354 2114
10504 7758 35808
20865 5842 30935
14818 21685 37100
19376 5586 41620
7613 18677 11419
21819 607 1420
7676 20126 9336
10992 17185 26286
19782 5684 19336
12076 15777 9658
7848 841 11777
9853 15807 8131
2449 19346 42830
21674 2253 33669
1266 1101 34276
3574 6086 19621
20151 11937 8353
12759 18532 3221
8626 6571 42171
4516 190 10782
14042 10289 16678
5601 20247 30823
3320 9297 25938
15223 15083 10730
14734 13829 16709
6936 14478 17853
