15000 11358
13325 3947 14512
14083 12514 25597
1492 6667 26267
6520 2647 26922
12802 11027 20349
8811 4366 9232
6355 2378 21106
6895 300 19376
1398 14841 28535
12652 6820 530
8947 9797 29949
6402 13759 3778
12108 12487 11738
4818 12761 24363
13287 7971 3956
680 1375 2623
8750 9180 29117
14265 1893 18685
6674 3260 14654
1257 472 4842
4466 12838 24489
3777 3780 3564
4896 739 5255
2534 3100 9665
6583 9627 21344
1418 2758 1006
12490 4700 2596
2522 9744 1243
10617 1604 15132
358 12172 9739
8133 7110 16881
13429 4314 16406
5539 7782 5839
8849 4019 244
10067 1269 13310
4299 1520 4254
613 8098 22150
10564 14810 1458
6131 12022 28364
12305 8402 9161
14207 8019 23475
13988 6058 29746
2565 2675 12162
12453 5353 28381
230 12310 1571
9913 8918 24879
5021 12511 288
10528 319 21222
14327 589 4208
6760 4032 10200
13158 12631 26462
1920 4198 17417
10058 1447 23475
13824 11535 14641
2472 5262 1228
14750 8037 29654
6187 1973 26294
13405 14659 9109
9268 3149 29334
3221 8487 25084
4745 14957 13925
5418 12759 22323
10196 7346 18487
12785 14718 19666
8883 14095 7576
13284 14908 25820
5274 12252 23112
3679 8647 3124
11587 2765 24249
4277 2265 24827
5911 4467 26949
13389 9317 21443
7816 3695 3134
1120 7705 10634
8937 4925 21647
14545 12215 1837
14749 2101 17508
7020 14759 3948
12532 4946 5872
9736 8846 3871
10685 12193 22639
1539 12332 24825
7411 7238 10819
11952 14043 27927
3846 9718 862
6000 5236 25937
9047 10928 10574
10879 6040 3190
69 13768 26744
5486 10753 22658
11561 9922 19949
14848 5426 7628
7286 14891 22994
7310 3438 7695
9917 5410 17398
8186 7585 27511
9971 8094 14674
9861 6856 25654
559 11038 25922
12728 14789 28241
2580 9797 18307
2420 812 26146
1819 3036 23370
4579 11825 18350
6051 1708 4700
7533 4393 4191
2631 8605 15710
4827 3753 27387
14140 9714 7248
630 7874 2260
10690 11189 27833
9444 2615 29107
10965 2448 2988
