4000 2145
1319 3839 3644
3661 2578 4533
2910 2304 1497
2026 1194 935
3289 1117 3482
2563 3378 6818
174 2889 4041
606 305 2461
153 1155 1725
3915 1881 7656
1253 565 6434
3928 3600 2765
2807 3133 4999
1528 1784 326
2602 1021 6824
1100 3796 7730
1798 2206 2965
1196 1814 3370
1892 613 4036
3647 519 4482
344 3147 5980
2912 2360 5462
712 2415 6551
689 992 4477
2672 2845 5419
3762 3687 5393
3224 3512 6141
3196 698 1525
1554 1938 4113
2315 2418 495
1955 3139 7533
3491 788 737
111 1852 2157
2851 2401 3185
1726 3575 4522
1345 1856 6689
236 2274 7822
2489 403 5856
3089 3593 7641
1388 1918 4977
288 989 2054
810 2593 3279
2314 2685 1851
338 2327 3410
1798 3680 2998
2288 2345 6759
1256 3604 1022
914 452 3600
1390 94 7424
220 1289 377
3595 2021 4488
3136 1262 861
574 1774 4890
1409 1997 5988
2272 2998 5306
2144 3786 3932
1051 403 4291
2672 96 6713
1991 1386 2124
1533 3018 7421
3045 1786 3028
1002 2771 1856
1382 2567 953
702 529 7072
3905 2540 31
580 1310 142
1830 73 5612
3202 1593 6111
1937 2098 2571
1059 2652 5448
3511 2883 7529
3974 505 3993
262 2504 2854
578 2083 5510
1084 746 915
1577 3008 53
3370 981 5946
1184 3312 3386
1898 1349 7219
3850 2815 1209
792 2704 634
3812 1401 3927
3213 3181 7369
2453 1739 5329
2097 2801 5749
3876 1090 5931
721 298 580
2878 3388 4452
1675 2344 760
2888 1563 1347
1038 1285 3839
3883 1014 4162
1088 2825 7334
1958 3851 2295
2985 233 1991
2317 1324 1633
3048 922 7336
3410 1252 5000
2731 1377 2848
3406 1533 3077
2680 177 1980
192 1816 673
2679 3895 1079
974 2682 2203
2820 1042 2832
3942 3483 7269
981 3512 4148
3567 870 5334
953 2860 1721
1693 2344 1324
564 3123 5645
2166 2814 120
1349 3637 6903
3553 2400 3445
882 1474 792
730 736 7528
1232 3673 3302
3478 308 638
1199 1426 6064
1091 3654 6885
2406 2773 189
2957 961 6355
2609 3734 3714
1270 2893 789
3532 357 2063
596 2711 41
841 2632 1709
2102 432 543
3366 2972 841
1668 1834 1689
3268 22 2127
2398 1929 757
267 3280 374
2543 3645 7221
3910 578 7950
1358 2964 1172
3992 3000 7766
2844 2299 4491
3531 2568 3778
3219 1992 768
1437 1493 2548
3537 1283 3364
2673 3740 5782
3039 1369 458
2760 2971 5895
2571 1058 1116
3067 145 2552
2898 3930 6502
3215 1378 52
2930 173 6466
3938 2163 461
3809 3009 458
3586 2897 7001
353 2101 4128
2236 3930 6967
432 1343 6123
3669 3197 6673
1537 3371 1157
2184 713 3934
1644 1007 3430
2459 2773 7113
2661 1494 5893
1242 947 6733
1508 2646 1217
2015 1121 1251
1865 3369 5913
3381 3137 499
3448 3583 7578
3433 462 7770
1085 2907 1533
3478 1000 778
2409 1044 5781
1294 282 6883
634 501 7184
2074 2478 6720
3094 112 6569
3007 2841 7957
2088 1022 6617
2597 922 6804
3376 2364 1734
2506 2535 4630
3189 475 5575
242 614 5574
2888 759 1577
2031 439 6134
580 971 7965
173 674 6172
3512 3654 1243
1515 2644 1012
3969 2120 2625
1753 2296 7832
1836 3457 2464
700 438 7388
2793 493 6319
3907 3724 995
656 730 5915
2290 1879 4724
1785 2185 1976
3300 3541 4558
668 2287 407
2728 830 3591
2276 1914 628
2492 491 4118
1462 336 2472
862 2494 2182
664 55 6823
234 2468 679
3204 1673 1608
2722 3854 1666
1944 3203 843
498 3525 6543
1892 3558 4629
3198 1078 6845
2500 2728 5605
10 577 2150
3688 3536 5617
3472 1515 3207
2655 3606 1623
3409 3359 3005
1606 770 6248
2344 3192 2655
1037 1304 5001
292 3416 5579
2321 1322 1661
3282 1380 5362
3689 1247 398
1161 2254 6149
3618 2133 5423
3495 2876 2936
1607 138 4002
3086 262 4087
3599 1169 832
854 2726 3152
1673 1589 6822
1008 602 1112
891 2777 7960
1433 782 542
162 258 150
1788 953 689
943 1902 2079
1040 1207 5351
1416 1327 3549
2431 1798 4437
2240 309 7302
