9500 4134
6271 9279 17556
3454 3432 14415
6140 9353 15691
2341 7252 16925
4097 8546 14304
3924 2365 1517
342 1050 2776
1410 4321 17139
5942 3985 15546
2722 4222 15773
5127 5806 10609
3807 9132 13241
8885 5821 11503
9459 5164 1332
3946 5549 9996
2735 137 17475
6610 8009 690
967 942 5802
8769 6872 5005
529 1542 78
8993 5784 7375
5042 4082 17031
420 593 8324
2233 7166 14051
354 7345 18589
3149 109 16962
8677 1715 15289
7278 9205 2867
2825 3485 13608
4386 4880 1721
7509 386 1663
8625 9432 17123
1937 448 1989
829 493 13531
7624 2052 921
7531 3797 9172
8280 131 6016
3770 5048 16076
2702 5336 1227
1883 1019 6999
5776 6335 18856
4753 5034 6448
2186 5618 17355
2313 7031 10962
477 3485 7452
1810 769 8898
1329 901 17141
1385 4029 179
9177 5430 15663
2207 3745 18851
7622 65 15022
5206 2357 16464
4153 157 381
6595 7961 10778
2336 3003 5232
4055 415 11847
6868 2303 18716
4781 676 17696
8024 9008 14391
1923 5955 17061
5081 9238 12566
211 1707 8757
7363 442 14672
5953 4581 2064
4099 8908 5089
1788 5410 7728
1410 6983 8330
2793 3982 9045
3724 4631 14505
7573 6918 14126
8486 2567 9305
9205 860 16126
2038 6159 16888
7760 1807 12025
6480 7286 10309
1928 1415 11475
608 8534 10075
396 4482 15896
478 1827 12334
1587 4518 12547
6906 7101 3273
5439 1845 3028
5022 99 18375
4339 6007 10647
2552 2094 16804
8933 8802 13067
3555 931 18716
5763 9485 8488
7372 2388 14134
160 4134 16822
4060 7854 8676
121 4294 6519
2787 3523 9002
1422 9473 5300
7367 1400 9517
8394 6889 1527
5950 1912 13312
9165 3070 13508
6563 6022 3294
125 4125 6449
1542 3087 10494
40 6416 12879
2262 2246 10786
142 1338 728
9087 3636 9581
6151 2319 766
3795 6544 269
973 6299 5773
1961 5064 7635
1761 3330 10908
8284 8107 10652
5061 6640 6738
1682 922 1132
2133 7874 17405
5248 2310 4093
7149 9079 305
8411 2800 5538
5016 2284 8949
4244 3064 8259
7029 4019 11153
4514 4350 16100
948 6544 12124
6891 186 17605
5938 8776 12197
7844 8159 12608
986 6532 5618
3160 3361 10872
8699 2917 1902
7314 8396 7052
53 1807 9292
55 907 14093
9368 8919 15472
6782 1644 1405
2818 7025 7149
4085 6559 10424
494 977 620
4064 5154 11800
9150 6548 7657
5974 4283 11482
699 1955 17480
8382 103 10075
1719 7022 18568
3667 2152 18420
4497 4158 2718
7683 4299 9285
4999 701 6206
8112 8485 14797
717 1173 17603
876 5231 14
4364 7346 5556
4360 2880 8038
7532 1522 7619
5554 6149 483
7777 187 8990
1086 3405 256
3224 3573 15163
4177 6868 12155
7634 8979 7219
6362 6990 10478
4130 2173 15686
8608 684 16071
5331 518 17250
5210 4611 9910
1358 6072 13973
4178 1275 9235
6317 6143 13100
1434 6245 3996
2690 7099 3309
5618 3220 521
2026 9115 15973
1673 5765 1997
5080 1097 9598
8205 8837 17510
8952 8625 1236
4122 751 7461
1413 4316 12750
5672 6618 15231
3494 1086 16942
783 7060 2728
8281 8010 626
4889 4563 7049
881 6670 7368
8777 4559 3253
1900 2623 15484
978 2762 11315
2629 8477 14172
3759 9070 18306
8088 1594 4612
3901 3872 5193
8046 5742 9081
4407 8421 11170
8444 5667 13861
3791 6696 15577
8853 5841 840
6411 8871 9111
8695 8337 18761
1914 8448 5454
3477 4833 7115
178 4249 3884
4939 20 4380
7629 4873 15532
8029 7440 6400
5280 3376 4212
3981 341 1224
9364 7825 5579
465 1755 10399
1774 357 9524
5955 1297 16203
6311 3922 16050
2365 4840 2820
3222 1940 14874
2581 6125 8513
