24500 17313
3361 9002 43070
12179 6031 21601
24306 9524 39550
2544 12159 213
14950 6696 21171
15017 21210 19197
4338 18347 11841
7249 16725 6058
3290 7195 36217
14670 19231 39847
10094 1214 20720
21562 16112 6616
16942 5094 32100
549 1330 39931
6287 13293 6825
3390 10038 8251
20628 1590 30186
10269 3453 41451
928 589 32087
17093 10924 8950
13338 17739 8729
4118 14766 30358
18814 11562 40832
5166 24406 22281
6565 8364 33946
15140 19281 21472
6195 4643 27755
6740 9784 26248
3817 17897 46167
7868 6534 30469
19974 10523 35581
23796 12141 21328
9571 17427 48194
825 7741 31998
6767 23064 39123
10192 8240 20477
9296 12719 29361
24331 8935 35896
24061 13028 27718
3632 7326 48021
1281 18600 29408
12505 7059 9193
19343 9701 6766
13471 21786 47309
18584 14947 44233
8807 13521 14237
20693 18195 3636
23445 17023 22124
6832 8888 9414
6060 771 43912
24243 4935 44920
20910 19196 11455
13120 13311 18193
23682 3697 39719
17199 13365 19386
5359 13608 32827
4754 14731 15612
9223 15149 38541
17150 11924 17871
2981 23980 30168
22877 4238 6308
8837 1397 16169
6753 15143 7384
20519 21579 3122
21805 23639 11081
22197 2117 34573
21096 16338 9475
15666 826 43113
23563 24460 12130
8594 13563 17598
23532 10644 13065
22316 13310 16459
4129 1524 31242
8354 15754 23731
6438 9201 40816
2146 2598 11992
18688 4457 41173
20487 2852 1904
20665 24314 31143
14065 3556 22596
21525 3713 27850
18985 16406 43487
9207 10840 15211
9337 13366 7602
21180 5981 27490
20109 10132 12045
12749 21175 5288
5939 3548 1758
22011 20818 48775
8355 4368 35939
11308 9708 36343
10879 20561 4456
16775 13427 19241
3923 12229 35701
23896 22578 2212
18578 5844 25153
10782 3436 29873
11520 2140 11425
24098 22150 47494
2265 23239 9640
9954 15468 44560
20152 6117 41506
18841 3615 46110
19405 22353 28481
19728 12922 26474
258 17301 16641
15843 10214 12769
11008 4417 20226
9413 11229 9212
16599 2511 36836
3809 6122 42362
15891 18423 38434
7305 6118 1580
16398 5793 28757
15364 8517 35214
16195 16121 9086
1245 22760 46718
3941 10331 48137
8193 5213 2491
1078 22332 15440
8150 3919 31528
11383 10697 2781
7212 15957 8004
23793 19809 7238
12660 10829 15581
15991 5395 212
506 2381 27447
20390 22900 18199
14192 20680 13618
23427 11152 16819
8485 23497 4544
1902 3191 4484
14257 9736 4544
17776 2612 6000
876 1198 40295
1395 1410 42294
24067 4546 37414
11642 3513 18578
19664 21219 6494
9487 20755 175
21762 8728 46862
18174 14401 40622
9476 21554 35145
9351 10604 21824
15761 12386 17689
8645 14090 41550
2255 15215 2077
2996 20171 9346
14541 15383 6893
3120 20372 34327
20281 10503 5210
11027 9750 3113
24475 23185 46723
21043 1881 28566
17270 14968 48409
24389 13392 27647
22281 1731 3642
18809 11556 18689
10982 18628 15719
1715 17918 38452
19892 6192 45898
18195 22600 4398
23609 16314 42360
2674 21488 12323
18770 7418 7904
7495 35 31511
17639 22024 3118
2039 20725 44948
16323 2826 978
16487 4197 33632
12835 19590 1430
23407 9850 30934
11268 14197 25936
18450 3088 9429
1075 21309 24590
12435 16789 35476
10127 4217 8597
15982 18817 20898
12122 8994 16999
6989 2746 25411
10504 13125 20268
13626 11145 15254
2294 1255 46504
9154 17586 13648
15830 13450 39527
15888 7348 26445
919 4890 16619
14510 5383 30656
209 3860 41826
24474 3951 21771
3992 23752 12370
12817 21535 8346
18552 9682 26843
16496 15399 15077
6160 2703 47835
18792 15059 1549
13726 21115 13083
17253 20576 10106
6714 14868 48459
4482 12176 16618
12502 76 4465
20753 3582 3217
18753 17110 31097
10179 19208 36570
16204 20311 25332
18332 3589 48123
3113 20256 37691
20559 9728 19359
1513 8597 15768
10223 5902 36
6848 23836 14757
2090 23571 5870
14553 22781 19495
21523 1108 43427
1517 9382 8484
15106 6904 48751
16064 16120 2968
5437 12242 19714
10647 21135 23633
7934 13357 7319
14653 3934 42498
14496 20291 37695
21318 14603 42511
6152 16477 39326
24000 12926 35769
20175 8832 18683
10895 8264 41868
6659 16214 6071
13883 5524 48649
16671 5669 9134
17992 12072 27008
3740 10965 37619
19997 7066 18012
19348 16683 25721
10293 14873 28367
13183 7731 5968
4842 719 10883
15856 18926 45023
19956 12728 4432
6046 6760 23079
5911 11817 26885
17883 7178 22451
933 20627 7645
18560 20723 47944
1065 13820 21919
15212 17926 43599
3293 7720 23299
2009 7370 4783
5236 22597 11534
16403 21903 45096
8377 6155 20597
15246 8089 27593
13493 260 25846
13411 8061 44038
19389 835 41606
12261 8461 30954
3103 23384 43083
954 12241 29448
14805 3806 9007
21344 6100 14447
8223 1592 42157
18733 8427 39145
4262 17130 20347
20679 421 37427
18456 10786 19008
12301 19440 24644
11553 22531 10210
23757 1442 43963
21473 51 24096
5057 22968 25124
23672 17818 11358
22860 8995 1839
2206 22226 40792
5139 4683 43139
8755 18254 14270
18743 14097 20400
11121 19714 26101
6537 10578 37686
10737 13993 21952
15078 4894 35842
7100 12067 47009
17789 2639 46871
22605 1023 25840
6868 746 33393
18293 22464 5600
5936 16853 46741
13271 23673 44909
3160 16944 45602
13005 2115 23842
11182 15888 37156
20718 3503 39698
11219 19243 45230
17540 473 25024
1428 20011 41092
12561 10275 33139
17220 10070 25489
8676 18711 38700
3009 4535 41741
15175 8780 505
8684 2736 39170
18996 2278 20417
18619 5948 44861
22533 4445 34008
24033 14274 20227
1329 1767 16291
3239 18484 7003
9301 22063 18625
10910 7726 46021
2760 12540 3522
8979 8558 7726
16620 17118 19457
15463 23777 43556
7033 5727 48732
4465 14849 29508
8015 3669 26359
17212 21542 33264
14892 3566 24753
7396 10748 3071
6601 24305 7455
19588 13741 15835
21753 12898 43230
16762 23524 30182
18964 4389 12869
23330 14174 43354
306 7565 471
7561 20237 15106
21255 14974 26451
5741 7194 7209
19829 10252 4947
16045 510 41001
1885 16834 36109
14376 197 44356
14242 21528 46593
6110 20934 5139
8640 2083 33821
20594 4359 11746
17139 392 47101
17605 10792 11846
4423 4360 2495
11386 19272 36950
10048 1476 10892
19991 16446 33299
21129 18376 47294
17114 22184 27026
12563 21084 38520
13803 23669 39508
14082 21805 3029
17685 3944 11890
17486 24400 13638
9821 12531 42089
14370 19943 20911
23692 22066 11166
9202 20050 42288
5568 16224 39132
22104 2667 43409
16899 3296 6385
5255 13576 44040
5494 3276 27696
8883 3998 25241
20457 19335 44270
787 16031 12282
17542 21680 24338
6200 12403 34231
11448 18405 17972
10038 12720 23562
21822 21375 6372
1464 2743 19467
19368 7335 4659
11474 30 44632
7381 15524 19644
5264 6559 36926
16246 17811 23518
2274 2983 26135
21641 13301 36649
12573 1594 22458
19019 7737 27672
13627 7977 4996
14071 23756 25018
23273 4759 43783
16199 14459 25026
4614 24139 43650
17101 7780 17208
228 9473 11251
219 22359 11705
21623 23729 1209
10357 7146 32538
2309 23900 36304
10584 21438 33647
2593 20408 36990
6303 6153 14625
20795 7373 36578
15298 2526 24383
16051 12839 25322
12153 22523 25387
23123 13923 41237
23476 18520 34747
18808 22606 8364
15100 23671 38212
7717 1965 25313
15423 21602 19586
8912 730 20483
12718 22971 20260
22983 19462 2797
38 2033 8776
13780 23611 36388
20167 18388 9255
8538 10113 29728
676 20888 7340
12096 3488 26547
1011 18604 34327
21043 8172 48158
12544 17913 10230
6318 11501 7043
12938 5710 15488
5343 5455 9145
373 5710 19656
17784 13170 16093
16349 11330 38056
4237 17654 8149
12297 16546 35696
5552 19981 23051
10701 7356 32762
8783 15174 20122
21650 14397 15285
1763 15534 15031
20321 8767 1718
5850 8822 10944
19512 23064 22328
16254 9250 5807
17305 10117 24557
11037 1842 43830
983 13171 42968
6048 13818 22037
9142 680 11566
11970 2466 47433
14946 21580 28094
17178 10621 43296
1591 21980 39296
12890 11423 47926
8952 13153 28904
10240 10402 14772
16145 13215 6415
16165 10925 47971
13672 15795 15731
19372 18123 26762
11981 20943 33105
4987 2107 16364
1470 10575 40134
3800 22611 34329
6143 376 24267
16232 15179 16353
12842 18259 40596
10657 20740 7818
20636 14370 39747
3841 7061 46177
14243 20593 6776
10145 19293 1368
23644 21644 36553
16090 7147 17226
3276 13916 43454
10425 22749 3311
6338 2292 29769
6432 5666 16123
6585 6831 8482
16662 10351 3234
13921 16757 7338
1974 7881 3123
7107 8419 4590
3480 1007 11340
6602 6797 9388
21973 5704 11454
15630 7674 44731
12756 2637 44745
5368 1952 34593
23444 1343 45105
12140 23903 1110
6014 24218 38285
19849 3647 40286
4185 4982 17746
16335 8972 42760
23567 8771 24039
2732 5210 30036
14653 20286 43520
17355 9779 12390
12782 18197 43632
3384 8623 43925
24263 7888 32941
978 14358 16939
3838 7317 18697
15738 2892 27972
21994 9834 12717
10526 541 2866
13012 1522 13381
24361 12673 17385
3224 18146 48613
17715 19751 22683
19106 8111 11590
8528 20231 2146
7993 11665 35786
16411 17550 6100
19643 9678 28550
10327 3876 18144
9904 19918 35302
18427 3859 12170
4663 4866 38479
6760 3429 2267
57 18822 41041
15790 17045 10952
19119 3272 14178
4517 10858 21207
21988 6454 38852
9832 23968 8045
16723 4666 41578
5050 19791 7856
4254 6691 11991
13085 24039 2113
20080 17880 22652
2583 4457 14004
23329 10713 29757
9650 12345 13754
20538 13769 1380
2223 11941 38498
22763 15401 11882
2082 17099 43640
18697 17602 12901
17577 3147 12843
12588 19558 32512
16150 12581 43849
2867 13158 34047
20457 3885 42423
6067 3493 36579
824 292 28006
15186 16108 18025
6355 16928 19263
15104 20706 47673
14451 19389 46320
14164 1416 4693
190 17797 27500
20603 12890 39897
20656 3083 1686
3792 4489 29902
19574 7917 17173
7745 10125 7020
22558 17055 2890
12076 19864 13181
17134 21719 273
4017 1451 1620
18070 3050 35085
9086 4396 21120
8421 8481 33654
9855 747 22935
3284 2255 38847
24155 3101 20311
3134 19385 10768
18093 22692 24900
2171 4994 3290
11212 21450 33044
14783 17544 38833
1012 5895 3192
15675 12877 7698
5259 22550 22277
6823 14097 10712
2016 5950 36411
9748 15565 37922
10646 7135 38210
10351 24275 19523
10131 8741 33678
19673 16600 18577
23559 15011 17885
19692 22986 14511
20862 12325 42615
12073 1615 35908
19931 11890 3986
21124 15858 1029
15348 5475 10686
3140 19248 16377
1206 19484 17292
20224 18856 32379
7980 2495 15253
18024 137 19
12492 3618 37380
15957 22155 1544
19504 23376 44553
22141 5235 25445
1775 12754 4944
3440 14461 39227
11228 4565 15614
2934 19320 37149
4475 6348 6925
19634 17815 22422
19394 23788 10047
8901 4770 33838
7762 9776 9990
23855 20239 7682
7699 16635 45062
8035 18489 9151
18327 22253 35785
9180 9596 28802
24313 15968 10357
2 18137 611
634 2401 9451
16950 23941 35373
5637 12048 32012
2005 8992 30182
23537 15178 28959
18646 7642 11673
20935 19052 47747
18416 21523 27887
9014 15270 30198
23704 18560 41396
5170 24217 35945
19188 4284 47625
20909 15339 36643
15426 448 23938
1404 8213 10928
6637 20651 10672
11893 1298 25257
21543 9517 12213
16138 6201 34071
6891 18174 29099
5103 353 25237
14851 17859 19779
5284 18036 8897
4596 9006 42885
5794 3767 31441
6132 21612 5632
5589 15811 44712
5990 19647 4785
20118 15541 34682
21743 14522 35992
10650 18814 5595
20175 11239 47405
23420 23155 13720
14377 600 6179
12343 9930 48733
14467 23077 4770
2567 125 17073
17382 2928 37695
22284 12614 17585
5815 17428 12763
12620 6763 30379
10370 10486 25398
5375 5998 7889
14682 5442 15634
17948 4358 16568
21970 10426 35354
20977 8016 39551
16746 9757 3984
13351 19837 29575
17768 19039 30305
17964 11953 27548
6142 9168 47048
2272 9439 33066
15316 10044 42290
15382 4925 17202
8139 3485 34786
1133 7211 10132
2230 13680 28608
22198 20248 48325
6314 13061 31425
1554 11976 13399
16184 15803 7189
6619 7371 2777
4562 6958 6352
13153 10025 15967
21942 9937 32818
6651 18806 47197
7916 5217 34256
2829 23125 19873
18733 19706 27812
11236 22078 14480
6270 21910 27630
18676 19253 5432
15960 1611 21611
5493 21262 10261
10865 23186 36827
13216 6904 18236
18549 6508 35664
18226 22858 1552
5237 13766 28715
9120 24116 26134
23906 6915 18107
17686 18590 37480
14200 8080 7054
11329 4119 815
2051 18757 47229
17117 8182 45662
7678 16814 1785
9299 16297 24170
6790 18808 34261
7773 10911 33678
6796 2801 34539
1463 19401 11278
19890 22703 20049
6920 19541 42255
276 2543 1898
10694 7363 22266
21928 1914 6002
23006 12875 36885
4088 6875 33740
6728 19424 28676
14920 19083 30394
8673 5643 19858
21512 7251 42126
16746 12204 36915
1340 21373 22140
18421 4919 13893
763 1156 21889
23984 13641 39786
4020 16512 23254
2626 9127 1525
5102 20734 11426
4554 388 15207
5912 15441 224
3955 667 29842
2393 8754 30703
15756 8299 29691
21453 14172 31333
9195 23888 42994
19804 2490 8821
11560 21204 41007
18062 4815 9509
4705 18748 40443
9120 15745 39059
4169 5668 16689
23680 16955 38786
20038 13809 11313
274 2974 10756
7552 18099 24238
23770 8972 29038
22396 18786 39203
14414 13059 2912
21077 23339 35211
1842 10762 21062
2222 17389 5153
4666 10414 12641
2756 18128 27701
22883 21848 16279
18139 1299 18463
12155 15253 24404
7238 1136 13153
20648 319 15720
15108 23193 46542
5634 21672 23533
21849 7006 26301
8106 20923 40641
351 19357 37166
9756 7886 38130
15774 9413 19836
2775 5001 864
8704 5358 4440
18279 6347 44421
10947 22803 36401
2531 19886 13884
13367 7330 26439
17133 20545 41917
16701 10788 12128
4905 5331 26900
18820 6539 1620
18372 17293 10695
18115 4062 10023
9407 6393 13418
10497 5240 7356
1187 5177 28300
18049 13412 37431
17432 15568 8249
5884 1472 17346
4594 23608 3014
15637 20402 32105
11358 23971 43747
6427 21093 20738
122 10435 47015
16963 8855 42051
24416 9193 19847
2558 8350 3101
18109 18420 29918
6568 2206 47000
14764 21202 40393
2563 18971 21090
23284 3578 13276
14770 3597 25676
19114 15074 30935
11421 9025 1882
298 11489 9366
4947 15546 15357
22057 24179 30638
13317 22581 5385
9944 13561 6497
5305 9818 1948
11054 1670 15118
19591 20635 34538
7238 23885 8782
6918 11116 20749
15455 2800 31710
15677 14308 21447
446 19824 11825
5573 5175 22120
14590 4356 12718
23415 5248 23252
4497 13807 13026
24037 764 20564
16905 14538 7846
6948 1957 35765
4038 10261 33419
64 21166 28887
4093 15717 36655
10728 19993 44604
12552 7753 47634
11425 19612 45924
429 11923 253
21463 13524 35782
19191 17125 41727
6626 18179 11128
19343 14446 27894
5358 6512 25393
20004 19250 43788
20785 5432 8749
7582 5960 48460
8112 20623 7871
834 13892 43886
4549 10434 17985
15397 13932 9040
273 18195 23711
1167 2838 48158
18200 15136 18035
23471 15764 14865
6373 20115 48304
23641 1620 19337
20204 9419 28846
7626 13966 41553
15108 22483 1359
13553 22864 29259
24308 21190 31693
17516 1684 19770
10567 6652 35045
18328 4664 38399
12710 18342 22616
3934 11840 18611
2266 13508 26302
6751 8461 28354
4416 4410 34026
10272 7686 20149
23112 15927 3253
6589 18496 10845
15586 5658 264
23844 21616 1192
4356 14786 38866
16408 17510 11563
7496 21032 33844
882 23985 23482
23795 7434 48603
11414 16625 705
5785 2684 36515
14292 13883 12942
23529 10395 44837
9981 24102 20526
7471 6119 32537
20027 18641 20576
8355 6383 29191
13444 20179 25809
11236 10789 3311
122 13492 20669
14601 14288 36537
2558 16852 29241
21140 13163 45437
4550 19428 46447
10547 4321 18311
11568 14013 25714
11673 12476 42283
7098 19018 47999
20366 16622 13544
23877 246 15205
1464 13666 38673
4695 2742 12404
14383 845 19155
6472 4034 30706
13066 23556 4122
6150 6801 35730
