13000 6724
8624 9162 7469
1401 8012 11398
5777 2122 3143
7715 12642 24180
4737 6429 21155
5315 5991 13255
4716 12878 7447
6447 9407 20852
12436 12724 302
238 1763 7507
4339 1770 19257
4266 2983 18707
9822 10474 16655
6090 9474 16309
11748 1349 2420
5033 10454 20965
11365 10262 6846
8831 3083 8636
10068 8722 1397
4637 4983 15362
12818 11334 8246
3153 7839 5372
7457 4676 10026
1931 10755 8794
1356 10203 5828
3663 10438 19518
7377 1640 2909
1980 4904 3337
535 3647 51
6926 2478 14207
12901 4678 17307
9488 1700 25172
4077 6627 17482
8602 2612 14275
9602 6890 13797
10720 5165 446
3527 2930 595
10080 8796 10372
6188 9854 24706
6025 9067 21104
6167 8161 4715
3650 12132 8247
11219 2483 14176
3623 12632 19434
2726 9350 8259
9368 7231 16748
7764 5667 17996
9460 6416 14894
6229 5361 7230
5716 10023 17780
11671 11423 6488
3296 4435 2981
859 4589 8716
12970 5054 607
5398 12692 10961
3550 10791 23618
2337 8320 8607
3773 501 11968
6811 11666 21092
4505 6954 10564
7742 3383 22623
11537 10170 1648
2266 9283 14382
3686 5606 23652
320 5741 1674
5488 3765 4118
9556 907 13110
831 11553 4279
9430 10526 24617
7967 1987 13439
9617 11262 4699
5105 904 4763
5772 3683 19704
2388 3421 8809
80 7071 20466
715 7581 7962
1393 8899 2031
2581 7617 19920
1909 8011 22728
2046 8116 7111
9230 7345 709
5737 7054 9777
7758 7649 5610
5490 12935 5353
2086 7611 17011
6812 9186 7200
1088 8709 13453
11470 10200 14521
3530 7752 20561
428 3952 24499
12680 12501 10490
6613 11836 5403
6658 3122 3931
6090 6472 21371
2692 5056 15736
2968 7245 2680
8805 4261 25255
6764 3845 22856
3072 5912 4695
7212 10651 8766
9223 4524 7737
11169 9371 17663
2748 2311 5386
1157 7241 8246
2348 12179 15492
661 5772 22201
11349 10887 15504
1821 2538 9484
9366 1440 9580
11832 12106 24235
4400 5517 24739
11270 3012 6827
7571 3335 3474
7985 710 8385
334 7401 13827
7836 5561 1311
2857 3669 15935
6751 4514 23537
3137 5741 18841
1867 6161 20569
12573 8492 23684
10589 264 5281
111 8056 16452
12053 10913 8023
4703 870 3385
3227 12377 1682
1370 1021 11575
1250 3153 15039
2515 3670 21297
7213 8980 13506
7773 2192 23881
4953 2458 20636
2344 10458 3489
9978 7727 20725
11790 136 15994
9625 12611 1972
3947 12506 9448
4267 9404 10962
10322 11580 7499
2065 12244 12383
7435 3987 94
4471 10237 15834
11428 9587 20088
10291 3665 6678
12683 11369 13624
4762 8856 18920
9743 1556 1026
8801 11418 19620
5068 6426 10240
6302 7115 21692
7485 11462 1364
6381 12388 16681
1997 7681 10351
148 262 5617
11551 10736 6708
3602 2484 19026
7320 3924 8539
1809 2454 24426
8159 1597 20180
5050 11263 1068
12766 5677 23367
10903 12656 25258
606 4341 5348
2661 7332 15741
4787 1746 13554
4775 7180 22769
3593 5003 10893
9191 3112 11457
8352 5118 4387
5785 1550 5677
4896 11692 12862
11837 1416 15720
4243 11592 1147
2803 8091 16240
5489 10586 10982
5147 5049 17214
12634 1956 23760
11756 12548 1176
8982 3996 11202
1363 1268 3828
10728 11693 20137
7492 4021 17921
8889 12295 24019
10112 699 11369
7837 4934 12672
12355 12373 13238
8042 12092 14574
9748 6917 22098
4434 2373 7668
70 1614 7475
2795 12838 25870
7175 1985 11788
4194 797 25796
5425 1201 16639
6955 11714 18699
11338 10656 7928
11599 155 18657
6196 11627 5561
3932 5494 7854
2871 5721 24838
2221 10320 7891
3707 10883 10324
3414 11850 15738
5421 12377 15215
1727 6766 3222
6841 12956 10654
12369 5611 5353
4848 5135 22117
10566 6854 8379
9011 7434 14816
2745 2989 4028
10439 8925 8576
1654 7134 22601
7420 803 1596
6413 11423 879
10295 11308 19752
4839 9881 25459
5547 6057 19774
8030 2764 22668
5841 8585 7561
8299 5384 11202
12444 1500 4759
11627 10740 3602
12990 12611 20925
12102 12652 2912
3253 1794 3163
6410 6954 2526
4511 5764 6464
8318 3085 7213
10455 3097 16665
9414 735 19481
10628 12541 13619
9788 10666 11682
861 3716 7712
9311 8330 12537
12844 11241 17642
10760 8043 15030
5627 8758 8621
849 2410 16641
12908 5269 15559
10104 6078 4272
336 2186 11549
12273 3419 21069
11825 9249 6629
7210 5476 5166
3996 1472 14262
10411 10959 3293
11282 2574 20993
10151 2141 988
1609 10354 14111
5049 4498 19393
5620 11280 1105
6263 12336 21795
3123 4101 21816
6510 12464 2548
6168 11612 24571
2361 8266 6125
8666 3848 3177
12426 4619 15848
11019 3224 3019
10191 488 21171
3729 9787 7240
1481 4027 19537
339 416 9122
1226 4478 13407
10190 231 5822
11767 779 13854
11583 5263 18594
4051 5963 17533
7833 10137 16862
8645 8470 5181
7891 7284 13664
4136 8055 17916
1410 12479 10721
4706 7614 15711
1176 86 10435
6602 1341 19626
6207 7587 9510
5188 12610 350
3601 3235 11089
10735 12586 329
10928 7903 5431
8048 5172 14945
844 9465 22918
2267 4321 18290
2011 6453 3397
5324 4798 8640
3921 10812 17789
2019 5459 17691
6250 9616 20666
3967 10238 4641
5801 5272 2080
8193 10358 12179
10310 649 6201
6759 6423 16963
11596 4243 5256
8197 990 24005
9711 2417 13719
2974 5991 85
2708 7621 21057
859 7770 1256
11557 719 11499
4237 1929 23741
4570 6937 19803
6504 234 25326
7170 8484 16676
7867 5028 22499
3827 11920 9384
2108 5775 15525
8126 12048 16313
6727 3563 18928
3556 6190 1051
11966 4971 15358
7959 9511 465
9929 11209 3979
6634 995 18082
9298 1077 1041
12352 12341 9127
12151 820 8114
4905 11974 7162
1774 2657 3338
12566 12873 3779
9254 5989 23258
10363 5071 2982
2479 2252 5116
11912 1163 15915
8974 7867 8574
11354 6674 11996
5963 2439 1535
1541 2264 14686
6800 4181 11143
10976 5676 6110
5214 1348 15353
1693 447 10423
11344 9654 20187
8289 8125 20788
1000 12418 20390
8341 3760 10228
5798 778 8786
9216 3426 14501
11920 8229 20073
5485 11061 10467
4429 4884 15402
10689 12019 10729
10823 8437 5400
10590 5336 21178
2971 6143 13656
5377 11273 11154
92 6762 25512
2785 11331 4932
3849 4174 7772
206 10271 779
8829 6753 9454
4990 1418 18934
9468 10718 15636
9187 12337 4995
11889 1062 24873
11953 10166 1965
1624 3139 5844
1518 2842 11440
5269 4836 12390
6131 352 19193
5674 1114 21328
7946 1140 3098
3728 10633 6064
7393 3515 984
4998 7053 8638
6349 10563 14212
4440 2341 14492
4799 3996 22624
8684 12574 13248
5344 12857 3448
12833 1392 4511
1716 6585 7901
4537 12438 21925
4694 4326 25459
2490 3225 1928
12286 3461 16380
1458 857 15705
6160 12544 20874
3505 12023 18230
624 8027 3101
9159 4683 25531
6045 2275 24115
383 2966 4732
8189 2864 11604
12108 3297 8657
7474 10208 6401
3016 5052 25244
3306 476 25070
10471 6294 11379
5089 8224 4643
2895 10359 25649
677 2438 21668
470 3588 13448
12714 5391 21464
9633 11822 2142
10623 11928 25058
1078 10868 23709
6689 12075 10562
7091 1540 22937
1398 9307 1672
5604 11433 22593
2492 4804 3373
12917 4416 23654
7856 5562 18789
1594 11756 20257
4459 5374 16899
8080 7665 4472
2936 11542 931
5155 9128 15159
4845 12141 21560
5564 12743 17998
1945 2350 21917
1769 10088 22259
11750 5333 9865
6817 7919 17303
11135 8485 1797
7257 2679 20455
6377 385 5486
2125 10443 12778
9722 769 3148
10245 1366 7157
3217 3979 19396
2666 6497 2807
5157 9427 11480
767 7534 472
7751 939 22360
7361 7209 12695
7087 7642 11732
4701 9160 8643
1979 771 18504
3991 8334 14342
904 12717 812
9508 11968 3501
4149 3433 23190
2151 9737 18757
2899 9315 13311
9941 12404 23950
10126 12525 21213
12091 7703 2563
4307 5236 16967
4513 1934 1895
11510 6310 22212
6357 3587 20326
5585 1911 3768
8538 1844 15268
1566 3340 13198
8566 8506 12248
9474 9149 1672
6904 7831 4715
6925 2159 5169
8145 5350 19385
10284 1086 3355
1984 7541 12837
2488 7101 11850
6230 2305 16089
2800 11528 10008
10119 4987 23291
8129 9252 12119
4417 12891 18325
12965 4118 23202
1292 375 12183
11781 1406 2497
10072 6043 14598
12253 1837 21788
8871 5605 4072
3528 2868 20705
6484 5151 975
10563 1847 2353
6087 12462 6321
10253 9484 11543
5075 4347 14931
6612 5891 15065
5763 1830 21995
475 8800 23956
4151 7790 24660
5742 611 4752
1681 1140 5172
11379 9460 20796
2555 11377 9224
5060 9423 25299
4633 2413 5473
7358 11566 13168
8482 2712 104
5636 6070 6495
3801 6593 22610
5843 3010 23663
12781 5697 7545
5323 2857 14181
7823 2008 20561
4338 4083 12687
6012 9067 23023
1963 9875 5817
6944 9762 25682
6129 6130 11759
6828 2167 4946
5201 4269 23420
4611 12228 23755
7033 11938 22421
4749 4432 11187
877 3060 16727
7700 11886 19091
4965 4295 22953
6825 5874 18883
5925 12705 15630
624 4535 16106
3674 5111 24031
7295 5484 13940
3915 10186 4375
1928 12556 8275
12225 10327 7938
12862 3276 14480
8730 8170 7593
8890 4248 7584
2645 7960 13353
9541 3017 21356
6640 2263 8747
3368 5768 5096
7535 6680 19802
6477 11655 10625
4698 3198 16170
11907 2616 3462
7542 660 21001
9722 7311 3610
10522 2045 11773
11433 4710 769
1639 12036 12140
1247 9773 616
9504 9734 15022
7488 7772 21161
11735 2157 14935
2601 9427 2773
11695 3767 13496
9416 5292 7677
3182 6178 17411
9316 2865 19817
6195 2155 6619
5421 10358 3525
1775 9617 11243
4030 6907 2435
5280 1167 11418
10868 1327 10301
1399 3708 7666
8871 8486 6197
1018 6822 4072
862 6318 18747
4596 10568 14485
6951 9835 5645
2393 2746 21339
7815 8078 21270
12377 12682 16443
10473 7237 1674
5987 4146 3068
2846 9610 15188
11612 12088 17226
781 29 24629
8019 1011 9080
7276 12844 10143
7094 5185 16610
3133 9355 14489
1267 277 12766
10277 9571 14198
7076 10091 17122
11585 5495 10940
3244 12252 16532
399 8064 20583
7986 8588 19737
6489 3851 15119
10868 8154 10589
8944 6506 2397
7230 1984 16053
670 4732 20262
1605 908 9086
9135 6646 2473
8325 8566 9460
9298 7195 16106
10380 6669 12079
10102 10896 8398
6744 551 4973
871 12324 23453
7646 4860 5155
9111 7509 6207
2617 2831 15545
1543 11699 11852
7405 12675 14649
3051 7765 9237
5733 7770 8810
2647 7937 11095
11780 2257 363
717 10516 3463
433 4980 4319
11727 7405 23059
2733 4025 17187
4663 4877 25110
879 10269 894
10819 3310 8199
459 9112 17737
9649 8596 3777
5093 5876 11170
12732 7764 18359
3871 10435 18542
1668 520 1606
10310 5203 19437
12382 8129 8043
1885 5497 24186
132 9674 3853
11183 8992 24656
10030 3272 4723
8075 4692 151
12994 6043 23569
1403 10791 19268
6750 1892 1024
9420 1851 7939
8294 11034 21786
11767 5909 23810
9609 10106 9730
5644 8133 23616
100 1493 24045
3272 7977 1292
4893 5026 4232
6204 2485 1979
3236 6780 495
2382 3330 23632
2231 935 25808
6986 7050 20916
2469 8594 23076
5620 4274 22161
12562 2486 22727
9919 5034 3132
3109 10729 20355
6454 8258 12087
3300 2201 6353
9615 8834 24825
3633 3175 5353
10659 11610 11186
1076 9385 13216
9177 5090 10499
6142 8624 16126
8018 2344 1479
5419 9285 734
7450 10286 12945
6873 291 332
6628 12342 18394
11043 12934 2307
9578 12561 10038
4231 11679 5319
10742 3725 16893
7518 4110 21547
7163 8931 23083
