27500 18268
1409 22967 20366
7863 17413 36917
10361 26696 11384
16507 5938 43832
4802 21950 36225
5091 23117 10666
20774 24083 42130
2439 8429 3826
18642 13651 27513
11989 20431 35103
1993 1864 23779
19370 26317 28063
20051 27130 42686
21057 9079 9015
16586 21423 9209
16088 2392 41066
8095 20957 46228
4277 4465 50101
26491 21572 28896
25727 170 25871
3557 14530 26116
1463 3514 40604
24817 8003 25191
9350 23266 50880
18351 2601 20728
11977 23726 19680
25335 25897 26532
5219 14583 40764
2562 22641 19464
8670 7628 39035
21275 6009 40258
22666 6842 8366
10584 11179 44951
10152 24965 50220
16820 22308 48625
16876 22217 8468
24687 21525 42768
23012 24212 18600
23433 5987 10131
8117 24578 21976
11899 22772 22481
17337 12032 7890
13606 20576 44682
26514 10929 11656
23375 8365 14141
10217 3959 42356
3755 4077 53501
25447 10583 6651
2922 21518 50715
22023 14761 49205
12709 27102 19253
11506 4291 6520
8266 25564 45140
13507 10427 14060
265 18078 54288
22566 24053 44113
21187 18182 14210
1840 21519 14669
8724 21869 20336
9281 2915 25672
9646 14736 8350
16389 26594 36976
19921 13950 24851
2000 22305 40545
6679 6676 52249
4933 1963 25303
21892 26143 31596
5036 10517 46407
16869 19299 41992
27144 16343 43043
24737 15807 595
8973 16800 49199
9402 11362 16180
17162 22311 35897
11319 5674 17756
25370 23663 53697
2650 13940 29204
26164 6130 31480
21145 14368 10152
22500 26669 22016
15270 4699 48825
8196 12332 13732
6317 13199 12751
17182 7016 33400
24447 16474 37655
1158 10184 40721
8529 10555 24034
18279 4753 50995
5299 12321 41706
17316 25757 41249
1211 15042 3534
3019 11406 48394
12665 21406 17712
21413 373 8941
9516 15023 35854
14146 7281 42281
23341 7133 860
11832 1518 43573
24971 20774 11969
14190 6733 33576
18606 17600 34060
21947 19709 14429
14751 19269 13063
12058 6894 15676
11932 11611 39048
16267 12388 43277
21637 25769 5187
22230 24773 53305
10776 17215 1688
2091 7441 31108
26957 20921 29079
18059 21740 21321
2099 3568 26544
4997 12374 18943
23255 18942 683
25600 1014 42821
6497 12334 39646
12620 11075 25835
4344 1604 45272
9322 11338 34100
2987 19253 32151
1746 2606 30338
27133 27268 49220
10139 23872 50824
18501 9347 31246
15510 13087 3288
15140 25167 42120
6965 11610 27666
24561 26312 25823
21471 22778 912
25780 8055 770
21540 8209 33848
24904 25163 37860
11596 14372 53948
5990 13032 36848
17396 4364 8864
13908 19936 23642
20921 3082 38505
9329 27418 51005
26718 25996 36688
9158 12924 23877
26139 6286 53353
8327 5012 47827
19444 4150 11945
4498 17659 436
5740 3507 48959
16255 22261 52062
6391 1611 31443
15140 15323 17632
15942 12594 37469
825 21699 19437
464 11044 24975
10466 20009 6252
890 27251 18437
10074 18872 48246
23121 21607 4587
15658 10601 23399
11331 11886 23958
18769 148 19140
22583 27220 19152
19641 19045 36841
8206 364 28837
20682 25917 16646
26112 3341 27396
27064 6245 43556
1159 18276 22939
26477 15584 18264
9730 9748 12471
