21000 10819
10463 1771 39921
3991 8106 32579
17026 7930 38382
16178 657 5580
13601 3598 16960
5049 7978 12608
19232 20592 7038
17732 9860 20033
16339 18870 12
6800 16038 133
1295 6184 38687
6331 8264 35938
767 10684 17261
3334 1799 36044
12000 17272 3229
18580 3620 14815
19248 11286 36646
18068 1349 15385
14419 10183 2422
16014 5937 26598
417 13138 6737
8090 16787 22906
15397 16911 1910
12035 8086 12598
10727 8032 38380
2971 19495 12003
2293 4385 12122
17991 1130 20133
1050 14791 2397
20629 16488 32097
11834 16783 41580
13516 581 14005
3057 2596 21336
4699 7358 39455
12255 15913 6413
15784 3188 33745
19859 9422 6897
2531 1650 30960
3874 15501 11926
15083 1205 30558
10747 6037 637
4866 9634 27374
1503 6276 7048
18840 12349 33919
12631 12236 40502
18366 10895 38719
3025 19715 26059
18377 5495 18411
7278 4202 33583
2104 15901 41344
12592 16954 33297
5856 4018 9384
14540 8816 22992
9415 4665 24417
9825 6094 37351
16139 7737 21552
5931 17988 18993
20257 8808 25951
8152 3515 4935
10697 15056 34420
1910 6402 5003
11769 231 7213
20943 6246 29994
3953 11846 24566
239 18001 16766
91 3817 9550
11620 10382 16845
5139 2321 38528
17812 17247 8689
16823 5470 26525
15591 6998 16562
15124 13655 3762
731 15197 34004
18389 15242 20281
10924 18609 9309
6109 9614 104
12289 10552 25343
11189 1257 5553
17934 839 15030
950 4415 14769
17939 4720 5359
20446 1615 27453
9025 19291 493
12044 10967 34553
8638 15023 24027
17240 20936 19034
7097 3392 1824
4994 15788 8895
12810 1089 28211
588 5777 26043
14642 19484 37328
9721 6295 26912
6339 16159 10432
12753 221 30400
7855 10426 33045
239 4058 30253
1131 14932 6478
18256 14907 19311
13445 11313 39100
7663 5392 29514
16612 17490 26179
1080 17288 37169
12199 10021 35401
17544 7134 28985
9499 15357 36540
12844 9882 14465
20104 17934 14403
2882 7539 1243
14995 2307 35454
10317 11491 10981
3852 16976 5796
10289 4375 15129
18959 5296 13416
18652 7129 30852
7037 19601 39263
3943 10732 26691
15028 19243 3779
16229 19945 20591
12165 9778 11218
7028 5112 29842
5561 5607 15317
10225 15691 38864
8921 3292 16625
9082 10940 19991
16990 1809 787
5293 17553 1910
18882 7313 18985
9500 9581 18245
6779 10518 2956
20718 3141 3130
10834 10363 30002
14204 19944 36767
10428 3434 13560
1639 13332 13379
6716 14534 1658
14791 13772 26517
4954 19199 33783
10198 18951 21995
11227 7612 30254
12938 4282 24975
7431 15158 14183
7965 15665 751
7749 19078 5053
998 5756 24974
4380 11121 20826
7043 11088 10130
10132 9225 27586
4974 11424 34883
14737 15995 32928
16309 18250 12362
19412 13674 2570
12768 905 8719
4415 7051 7408
13769 9164 24774
16304 10152 24237
8360 14688 40832
7720 14183 8644
9640 12869 4029
3897 2219 31536
10790 1370 41655
7262 4098 18145
16143 18274 36924
8664 12889 9558
7706 12003 1801
12166 19808 10501
13158 696 24036
302 12348 4753
20940 2112 30548
20328 3976 40693
1460 20014 18549
18037 8949 2196
3901 4159 20583
13004 13867 7969
11405 3398 5065
16755 12061 2744
9016 18248 41063
14000 4126 16076
17774 11386 17419
3489 1452 18406
4861 5474 2441
13616 14873 39070
4164 3675 10632
11877 10691 5414
13325 16415 33670
7125 19650 9943
20543 19598 12348
2507 16852 118
9367 10209 28769
128 6775 31266
2984 15004 8859
2239 142 27739
10685 13344 14590
2015 4276 23612
14062 10304 28583
18911 9863 16278
19596 6304 18584
7295 3994 16875
13211 15657 28014
18154 14240 5372
14215 12441 13077
4515 19262 23860
19908 8909 18029
19854 16355 27736
18140 12061 37904
18854 16513 24231
15525 18601 25615
1312 7263 17329
16925 14519 40223
9917 17566 30165
8632 7153 21686
12236 20572 18521
6978 14051 21141
2250 7641 34260
20443 7615 10593
15944 1297 31798
7433 10075 30284
5329 5018 11799
10266 11341 22275
3677 14192 6358
635 3379 33371
6234 17182 13733
2556 19058 426
5470 3142 14231
11298 15659 21888
2206 16118 4622
15158 10417 39071
9942 6836 24550
5517 2532 13799
16356 11632 7699
15865 19957 24950
14431 20355 38652
11051 5594 41624
14846 12239 16197
17429 16862 41140
19053 15311 2964
18762 13857 11492
4225 20758 17929
16453 9409 5780
11473 12942 502
12696 8084 34570
18753 8955 34357
2297 15162 25968
17027 12316 30371
5090 7002 26849
11432 8 19801
19522 2674 38809
13864 2713 10144
20211 5227 11584
9730 13154 4171
526 20139 9303
12128 16061 16425
7575 18770 13883
20270 13239 17258
17648 8811 11446
913 63 1241
5119 10349 20098
2400 5058 26117
20245 7563 2337
11790 13600 22033
2231 7891 31201
20515 11462 11239
18167 3256 29225
778 19690 34952
1209 14812 32777
13667 3180 7179
11765 18519 30248
16217 13668 15992
8370 16017 13154
19895 14568 19078
15208 14949 23212
8547 7409 33021
1973 2954 41619
18261 20718 12582
6835 6812 1606
13281 9549 38980
16092 13378 25446
3486 14150 24760
7233 7565 20324
2941 9669 16018
12028 9349 14259
16992 1818 8783
20652 5894 30482
11476 19369 21480
12784 7157 35090
10687 10633 17229
9593 10121 13788
19189 13979 27185
