16000 8134
8650 15990 15476
5345 1221 4228
7167 8225 23069
14055 9898 23060
4227 4943 5877
14875 2812 14637
5838 1060 7811
12946 11954 24951
3562 7759 11755
11817 14984 14687
10733 7240 1908
7906 5875 10411
1704 4169 23171
5769 4216 10200
1086 12067 31815
12341 14427 16984
9751 4656 16805
9994 9951 10804
9107 5663 14664
1148 12516 4083
11388 12067 25187
1450 15147 8061
15895 1510 19284
10294 868 7741
1597 3362 8175
5705 5284 25507
10161 13930 3528
13575 1493 25525
3441 3340 3122
14344 14394 20339
11362 1926 21860
12283 13312 23022
4187 6422 16889
4549 15294 2257
9674 8755 18370
10643 2807 12927
7100 12633 16696
729 13687 21037
10447 1389 12055
7674 3308 13467
5703 12045 24782
13071 15284 21447
10715 844 17256
8437 6626 1084
972 3031 25463
1697 5071 4412
15716 1587 2776
15553 9512 17726
8140 3970 27457
13370 7936 3950
1542 12028 10727
8515 1396 21401
5294 5516 15268
10852 5435 15686
9104 13728 12633
12018 4862 28488
753 7476 13310
12766 3288 5500
15705 14924 28447
10668 11468 6534
1204 10607 16785
14417 11630 6977
9596 4332 705
5383 6680 11359
2371 8763 13042
9065 14281 13679
3343 2185 23352
7495 7407 21544
12652 11674 12224
2379 9111 13225
1438 15044 28093
4791 13720 23831
9144 10848 16892
6704 1372 26368
9208 7400 296
824 498 4743
11335 10411 18565
3143 10878 19994
7715 797 19424
15863 10444 15977
7251 6338 21814
5193 8532 27746
2142 5028 29445
3775 10181 6953
9283 13350 3384
11804 10906 29753
12193 8730 19936
601 4748 14242
717 7631 2962
5168 15949 30356
5827 10190 3662
9380 14414 642
6417 2832 11673
6736 2705 9383
8736 6058 14611
1003 15016 8130
3051 8361 26000
5043 8824 2062
9056 6945 14316
1135 2273 23103
10164 8760 12270
2889 13779 18365
12011 3668 15120
7157 1170 22295
10913 1921 6560
10901 6902 12782
10588 10947 29223
1580 3100 15898
9329 4990 28726
8519 8723 10798
15298 14111 29754
14322 8198 23980
1154 10713 2983
14677 11367 22577
4153 5983 18456
6767 7481 14026
8697 1507 6389
8234 13654 17809
5675 11336 12773
11990 9712 28553
234 9886 18198
9672 703 26632
13043 15130 26967
6670 4259 16218
993 2898 2288
6627 11657 27206
5134 4089 31756
6451 4442 3939
14118 11855 15897
2531 9249 17663
8464 8260 14245
15617 14189 29691
4128 2519 10212
13524 14833 30212
14214 13902 3470
8133 7158 24984
12123 144 23801
