2500 1476
1239 2045 1409
2124 203 4627
1453 335 1875
1244 1928 2343
2217 908 3571
134 2135 4643
995 1410 1218
503 1139 3733
269 1042 4711
708 1993 3902
235 872 533
2475 978 1890
581 2490 2319
537 1681 4131
1893 316 4368
794 2331 1075
1625 1889 2921
1297 302 1159
2249 1108 2363
2448 944 3616
1953 1216 3408
1076 639 2107
884 1778 176
600 1102 4414
645 2222 2264
2107 428 4882
1649 48 3210
1088 2135 3844
2326 894 636
1147 161 3424
1542 2499 3432
1539 811 1432
218 539 3540
975 166 1280
1373 639 2522
93 1664 1181
2194 1986 3091
423 1725 2132
743 2445 4479
1406 2279 3804
342 1160 4919
904 1313 1123
73 174 4166
1822 288 975
2303 2321 4379
762 1403 4324
1229 877 4509
2191 2165 2865
456 2307 2793
1949 705 4762
1639 1103 2474
1309 694 2190
1778 207 408
1320 1511 1924
1177 1168 4655
1426 1625 3238
2342 19 1180
983 1193 869
1112 1243 4055
1681 2368 2008
1514 1077 145
2233 2498 1911
1338 1287 3747
1724 1251 435
2193 1149 4085
1912 1027 0
1082 1049 104
956 2405 426
2126 1595 1343
456 205 2439
2121 1555 3339
1290 609 2736
2435 2358 1381
1679 1413 27
1455 2046 3916
1516 1482 567
1479 319 4722
579 2140 607
144 1716 4917
242 2252 4473
833 1842 4419
1545 896 3897
1972 678 1513
1696 1154 834
24 1848 1164
1444 928 973
2416 2208 4378
2081 2390 2803
1697 1369 4890
13 1003 2888
1973 1549 1369
457 2255 1977
1518 1241 4742
1566 905 2170
954 2306 2374
1619 1890 1854
2240 2496 3758
1042 2225 3336
821 911 681
107 1626 3074
647 529 510
1126 330 1222
1897 2277 1630
2335 775 3855
693 1043 3426
1484 1137 1519
646 1392 3613
1962 1408 1868
1872 502 1522
1479 1669 2651
825 514 4786
2447 1001 4251
1935 1564 629
1032 2178 1746
822 1252 5000
2415 900 3868
2429 699 2503
2329 1465 2559
1122 1518 4217
2067 604 2766
288 2049 969
1304 1616 1253
1344 2336 921
959 1807 3853
18 2473 4451
75 679 2447
1700 100 4672
2238 1104 2476
515 2043 743
2268 2226 3266
2016 198 386
97 2062 2315
2383 1458 3712
1125 1526 2285
455 2042 2374
1203 964 4153
120 1142 2341
2216 1153 1033
1803 1289 4901
2050 202 3992
349 1329 2848
1070 1171 2729
836 1682 3485
1613 707 95
9 813 3747
2325 628 274
804 392 2735
2395 1294 3692
1289 1631 3972
95 273 2338
2468 34 4475
1878 990 3661
2170 441 251
2307 2422 1007
69 2032 3369
1886 128 3300
2373 2215 2099
1442 660 4817
684 1107 2430
157 1708 3383
2406 74 1881
597 1366 3018
1437 1169 238
248 2332 3888
1483 156 570
695 820 2390
219 1112 4360
1410 2328 2191
929 2450 482
468 1187 4590
339 1680 1830
1379 1320 58
274 2100 401
2264 1707 388
2328 2409 2489
1307 2265 4598
710 1692 3015
2390 439 3288
571 2225 2789
2152 778 4700
2297 1038 2868
2478 1846 3497
1441 1090 4363
1209 2284 4819
1721 175 2535
105 2402 2284
1064 2223 2771
659 79 3499
1357 1856 3409
2228 601 3085
549 1432 4117
1117 2427 345
140 1282 2727
2398 1947 2012
727 1926 1741
906 2451 2801
2086 838 4767
801 227 2330
2105 2163 1620
109 750 602
1284 305 4635
301 1670 3606
367 2206 1442
164 2010 2186
1471 1211 2033
383 2400 1533
1201 2364 4704
2022 1088 1296
574 1824 4850
476 1198 1642
251 919 376
2362 523 187
765 2150 3621
1469 811 3755
2147 1875 995
2374 1121 2968
867 1164 928
438 1807 4782
987 1115 2416
1832 1408 503
2119 593 2074
2041 2357 570
782 1970 3301
1470 421 57
234 1312 3435
739 1258 338
1159 733 2471
978 2357 3365
96 871 2409
1815 557 3377
760 1545 1592
335 807 4836
2497 2129 3436
2223 659 853
2359 1511 2701
247 1468 2672
1742 1049 705
1885 2425 1761
1753 1720 399
946 1373 2525
2399 2321 3729
1990 431 2543
1050 609 1578
1405 1839 1982
1186 727 501
1796 2191 4447
330 622 2532
154 690 1696
2462 1279 1794
702 1462 349
1438 1783 3625
1228 2054 3669
1265 2477 1368
573 947 779
2206 1322 464
1102 617 1557
1134 632 3545
541 2376 1915
612 762 941
1077 1621 3375
2253 1756 3643
1786 690 2001
1110 285 2780
2420 619 3094
1980 1809 2982
1726 1872 3226
2474 826 1671
778 1382 2507
884 1049 2574
1983 1905 1607
2073 1133 1038
1174 727 681
852 2384 1142
1066 1435 258
444 1216 517
618 901 1178
697 1459 2347
1808 1721 445
1099 1371 991
2277 681 515
1666 989 3228
1680 1432 1517
271 1936 4950
2381 437 3454
225 447 3499
2497 1846 1911
2470 1146 4364
1530 879 4817
150 968 1002
1358 2031 370
761 2144 2331
1347 517 2996
197 706 283
525 1135 3850
1266 1601 257
