19000 8812
953 1095 35417
12468 14021 32484
9832 2589 34194
3282 500 440
8902 10913 14212
6106 17322 7952
17912 11452 10401
18564 5007 9809
8708 13398 20102
2037 17036 12374
8126 1666 31315
2988 7592 7693
14589 1249 17166
11144 5589 14931
12665 778 27374
4630 10448 18647
13248 12292 4449
12718 10644 18961
3308 6778 31391
14043 13756 27003
12160 99 32621
10954 8591 18013
16320 10611 2089
8600 18161 13999
4526 5646 24727
9437 3459 7813
12388 15126 16392
18786 15863 32656
16582 12025 18563
16616 5482 17632
16777 14404 28988
4034 7584 4886
12694 15278 13531
16258 18759 27938
4336 5631 34602
3015 16537 26478
6600 10104 32182
6296 7439 35027
4768 18499 17811
18854 18757 20578
17412 3405 5622
9169 1839 14031
13079 1421 12173
7172 7685 32012
16369 3883 22981
17850 11660 1347
6956 6922 32096
11917 2516 4290
7759 8108 15257
13142 16238 3367
17330 8734 12698
4933 3690 31700
11434 4349 25268
11863 6193 1518
1967 4755 29565
12182 14065 613
11197 11021 31842
5939 1984 16383
6114 896 12052
2267 11910 29159
4550 1634 31138
10949 4386 6607
7528 14000 13907
2328 10946 13795
16315 2061 6892
14548 3261 26178
10963 8083 32069
716 10981 255
11143 5237 20403
1281 5537 10622
599 1907 29842
655 4936 30504
13109 16372 6166
17559 18226 13285
7420 8081 10468
4927 14715 7229
15536 16192 27970
6005 1474 26171
11162 11930 2999
11276 5369 6182
4845 2604 3875
12072 2403 26624
9786 18441 3622
18387 10447 32543
120 16441 16865
4613 18931 3108
4056 6949 33088
3347 11497 8816
2757 11460 26670
3021 13919 12937
9790 2105 36328
585 17159 26803
13522 2474 19495
4390 1442 7899
7639 10420 16025
10120 10451 34320
10408 7012 12621
2234 10628 1440
3659 10372 36041
15245 18868 19431
3813 12671 31622
15545 925 22869
15766 4412 18704
6008 18073 7551
12859 12331 3563
4856 17760 33768
2576 761 18383
9027 10503 35159
15663 13392 5932
1873 14745 23345
7933 1804 21113
7413 7640 12067
17479 15953 25119
509 9720 13208
695 2829 18796
11083 1608 18416
7178 1748 6269
2166 7611 33405
6761 1443 35810
9734 12588 28248
9111 6469 1954
6140 13058 1231
1066 1876 37355
7773 11528 26279
2039 882 20185
7766 4806 13481
9329 13519 4081
11824 10923 29845
18124 5254 12457
1917 4969 21864
8335 15558 6438
421 7475 21113
13265 2114 29584
5563 16059 11059
15505 13986 21329
9599 11648 5405
1488 17027 31358
16334 12126 5693
16565 2779 30921
1061 615 19478
14678 352 33321
749 2283 19744
4289 10992 389
2912 6572 11665
9414 9377 27437
8542 9351 16257
6563 10283 7144
2676 9720 17922
10472 14988 33520
18296 12573 28136
4534 3659 18708
13604 997 24378
11093 5584 36232
18768 17365 35628
6801 12537 22489
3837 17468 27624
8719 5897 30524
1436 6431 5148
17576 3771 8485
13444 12305 36459
14554 11864 37751
15295 17345 30154
3235 16972 210
10160 17549 37185
18561 9481 4476
16498 4101 28304
8954 12739 7109
17722 11269 5843
13136 9272 27986
2479 7341 5076
14313 1318 23023
12870 12961 779
17134 15664 27063
15867 5562 21115
16460 8086 5290
10364 14012 23422
15837 18958 18617
10603 18479 36627
8279 11718 37912
14947 8340 5364
2578 18561 26269
9401 12306 19967
5438 16782 14477
6108 17893 340
12865 2245 24427
13268 11540 34853
4994 4469 16143
10247 8424 30310
14561 16715 21364
8937 12313 29862
9184 6355 15785
17655 4587 19191
4107 14529 10501
9219 18478 15920
17592 11392 6762
13348 13282 24901
13654 12330 34419
7814 17522 24880
16743 10982 35705
15131 14951 10985
11487 4403 3274
683 4390 25797
282 7953 20748
9011 14460 5763
5350 3676 28368
1637 8427 30536
4598 8626 9942
18828 2783 9567
3153 8295 291
17345 6594 26702
11590 14233 1360
7747 7258 7961
6926 13558 19593
16266 7507 21669
14248 7390 9690
6833 7959 13988
13037 15810 21849
17067 7329 4079
15770 15530 12973
11895 17564 8824
5403 11893 18055
10980 2337 2732
13086 17034 15717
10969 15270 17491
18358 13651 5519
16245 17386 10052
2044 2711 7786
16084 8205 29986
14064 1198 20298
6111 14533 10677
8506 10268 37510
12748 7554 464
12686 10567 5298
8662 1120 8654
12850 6506 4618
11434 433 36508
2259 15251 28410
3203 9393 9679
565 11764 5657
16353 16560 17306
10710 1320 2676
14726 18749 29580
10506 17183 23166
18009 18890 34528
16353 18272 34031
14602 496 850
14049 4224 36782
14686 2802 15101
8556 6752 8991
18486 16480 9902
7715 5266 28159
4658 15242 4993
3107 12308 37278
6537 6067 8078
14318 18274 15428
1968 1348 37828
7492 9287 35997
18175 9887 37855
17294 7379 30312
11752 3988 10665
10669 15268 34159
8304 6737 22045
4753 7648 28240
10291 6434 10733
13270 7316 9541
12064 13827 14833
12114 5427 8165
15618 16389 19700
4009 16874 28744
16807 3033 1249
10421 17183 8530
9520 9989 3808
11857 10712 28658
8039 5270 35661
13498 4741 14131
6063 18757 9400
9857 10999 34353
13509 16306 418
4047 8145 84
10848 16460 13617
55 700 1744
6211 10539 3504
8733 2498 31864
12149 7764 15359
12058 5843 29293
9438 2180 30521
8573 18102 28420
10873 13514 20039
15005 13445 24771
14503 442 6547
2198 63 29587
11433 117 20751
2898 14909 9664
8648 12835 2439
197 13403 31326
16930 17203 36196
18604 3487 3256
13759 3594 11644
16034 15442 22565
7536 12811 8545
16039 625 32935
920 14323 9414
14030 16199 27630
4460 284 12646
10311 16307 10129
10217 18023 4979
14068 13773 2163
1153 11368 16566
1987 8201 5909
17601 8253 10737
2208 1029 3164
481 12573 16919
15067 12893 150
10314 6789 35425
8616 10666 37742
10394 6377 20636
8477 5971 197
12266 1791 33326
3054 8006 8526
17257 12482 17237
11410 2856 22101
16489 8019 16558
18301 13376 6900
2612 13742 21145
8794 5995 5877
16700 9655 13427
4316 7665 23012
16043 15528 12482
7219 7530 30368
10545 8425 2979
13981 8270 32600
17103 5266 3607
16638 15169 24483
7119 10598 13863
1474 18537 1646
12829 12738 613
6609 9390 25791
18134 623 35008
8829 11016 19899
10395 5280 37427
3838 7562 6333
10001 6769 10716
14226 4319 29921
9212 6704 10412
10436 4806 5587
17896 12289 9622
10274 10390 690
6464 2850 36598
199 13282 7472
9974 7628 10012
9672 1892 35436
262 13389 861
8524 581 12032
5502 8915 23742
17535 7120 25381
6090 2466 13154
12646 1577 7377
5644 10153 1594
4653 15304 20623
1154 14243 8461
15421 15895 16254
17762 15943 29042
16073 1701 15680
16889 18268 36097
11891 9541 34758
5404 16856 8654
11105 11060 4498
414 5819 8597
18743 13397 17092
6587 504 4771
9694 7583 32536
12406 8064 4658
5381 15272 5872
2662 18042 31820
8352 1497 23601
4652 7334 24326
3510 18572 16575
6924 17992 9657
3852 17279 19436
12597 12363 31848
3065 2776 18404
5100 12362 22708
7220 18960 20608
8007 4860 18572
16204 1457 3446
2856 16883 908
6339 5477 27501
13740 10412 18568
689 7557 36547
13261 715 19921
3787 13728 14240
15445 4164 36197
5486 16937 15710
7684 6032 33160
