10500 1667
1261 10332 14328
1953 6223 5104
7449 9926 3089
8641 518 7933
5435 3700 4202
5138 9721 17051
8727 636 4223
6065 5018 2281
6425 600 8354
7769 8107 3061
2151 2753 18740
1225 9856 20360
3909 1524 1253
7576 8858 9190
10025 7944 12431
2545 7604 2832
3713 6490 16995
1834 1802 17153
8390 4040 20958
7715 1516 14776
2173 7083 10946
8818 6750 3693
2497 8616 10671
4421 10217 7186
1469 7455 18029
9953 2970 8895
8439 3851 10748
10072 1798 10667
977 4746 3605
239 1454 2491
7335 1602 3930
6512 8694 20007
10186 7472 15945
2164 5473 6503
3127 4961 2508
4252 7126 19858
7685 4837 2509
10289 9893 20567
3904 6461 13735
7398 8055 11971
7655 9110 19412
5094 6311 4901
4487 2358 20181
1782 5900 9852
10304 1486 11502
409 1400 20508
6579 199 13682
1884 2119 20677
3852 7244 320
6618 9812 10625
6807 9564 3158
4534 4147 20608
1496 6454 16914
3519 7986 5143
8614 1278 11507
1217 5104 7088
1965 1566 11621
5754 8857 6520
1871 4633 17666
4089 6439 13022
1486 7610 6716
1154 9413 18577
2867 2457 8386
4149 6585 16239
8646 8707 634
2671 5441 13217
7057 4771 903
4513 7611 2413
7717 8611 6851
7637 7915 5616
4051 375 12727
3851 2057 17861
7715 8656 15067
8787 3902 6625
1478 4433 998
7047 9128 380
4313 6368 15977
2738 3264 19636
1885 9299 19749
7074 9134 4349
2348 1501 9843
3328 668 114
2823 7694 2245
9352 7228 6049
10250 6642 7581
9207 9988 15685
8733 6717 9578
10011 5217 4618
4333 1944 6698
7881 151 2942
9041 317 7812
3159 6076 13914
5502 1458 746
628 5845 13371
1773 5767 10547
1338 2488 5063
8526 2007 2977
8958 468 1544
6577 3050 16579
9096 1956 20600
1682 4725 7961
2448 698 11253
6345 7886 5170
7957 593 17676
4339 2155 14995
643 1593 15588
2185 5875 4212
7427 5599 5979
2419 5975 3978
2724 1074 19655
3840 3491 15740
6018 7522 20673
4909 2424 3875
5342 959 11136
8031 7874 19987
9710 5110 9629
6169 3686 19451
2874 3902 9380
5165 1998 4630
10038 624 8010
4953 8467 1666
2739 711 8217
8094 9757 3274
5469 9257 3393
10092 342 3100
2627 598 12010
4543 5788 13574
4792 5797 18518
3204 8933 19646
1310 4403 3020
3755 8477 19587
2228 2346 10746
2974 7475 7438
6797 2235 5105
3684 3735 10057
10399 7693 14682
3360 6997 9968
9662 377 8550
7904 288 19868
8650 6455 18476
4699 8990 10709
8349 9111 4201
3884 3853 30
3159 938 19196
4427 8843 3188
1532 3911 339
1996 10046 3480
9890 680 16373
2763 1758 12276
2677 6760 16475
10030 4547 14086
5410 821 3239
7429 1191 18020
3216 9885 948
9734 9210 17039
243 5482 53
6580 7146 7767
9940 4333 12357
3630 2631 12964
9134 10013 19953
9670 4607 2369
7863 5535 3880
8042 207 2474
5208 8535 3984
6698 3317 3272
8347 1044 14440
8663 4623 17206
8563 85 10741
6092 1927 17426
3370 396 793
9553 8445 209
1196 2418 2208
7887 3334 5470
9906 4227 7593
3038 2775 18371
3028 1228 10004
4493 8044 19140
9231 1108 15789
2789 8690 10457
2685 8478 2101
8206 10072 12517
5522 1345 16747
4792 8246 12079
822 8396 11999
7438 8191 7232
7586 6045 2580
7488 8855 9423
5257 2378 6583
7108 6304 1765
148 8655 15560
555 4477 4282
6826 8737 5823
6195 5065 13976
161 6177 11043
10137 6895 8932
997 8296 13306
4044 8327 16863
756 2368 8390
7008 8300 16829
872 8437 13482
9450 3528 7719
7371 7848 11205
6730 10487 7184
3298 2272 17679
5149 222 5964
9519 5934 14877
7279 2492 12524
1619 10352 1116
9283 9420 5425
1735 596 1628
4914 617 4395
6318 1130 4278
9897 8413 4996
5885 9190 14893
361 2847 8194
6676 7379 9015
5550 4497 18615
5236 7275 3870
7641 7176 12130
2399 10247 19553
7103 9114 16851
2736 419 18244
1199 3214 1214
1551 4829 18961
8333 8536 2517
4130 8334 5769
4800 10273 17946
2211 8822 20419
1223 6042 18124
63 1923 2707
8748 8705 3810
4175 6307 5527
9297 8443 1874
5978 4552 7668
2619 3721 213
3902 6236 5239
1042 5034 5178
4542 7264 2669
8908 5073 201
7648 4759 16222
2705 7787 18452
618 8047 20201
10239 4872 1569
503 2209 10200
3176 7381 6214
9097 10025 8213
3989 6079 1501
3274 3883 5706
9978 9014 7541
5420 6132 12657
6000 2996 11847
6560 157 8318
5449 6940 9501
9404 6600 2952
9491 4701 12877
4232 2911 11583
8578 6292 7620
1155 6607 20585
8002 8079 4442
3138 6554 11286
6386 5034 17944
6099 10384 199
5916 707 18730
2134 1038 11626
6407 1540 15568
3781 1202 17646
7209 4931 4907
4631 1734 8164
55 3389 15022
2725 8979 8570
1406 3897 5116
5164 9590 2279
5701 7503 20206
4983 9502 5891
1771 22 15649
4904 4206 14031
4389 5727 5032
2319 5787 9927
9178 9346 19201
8881 6862 6569
4913 8552 11676
10449 7549 11882
9599 3709 462
1000 9979 6729
9844 2705 7465
1637 9549 4871
3792 7029 5468
8626 3011 6874
6525 9839 839
5371 8572 6366
2460 2908 16453
2129 2286 5712
3823 2624 20717
425 6975 13257
9210 5526 18687
3403 905 12985
8593 7430 14010
1379 2009 6418
5336 5343 2304
9374 6261 1240
9821 9826 16945
7307 8136 2044
9994 9294 18035
5162 2583 14208
6977 1450 5515
895 5378 9387
9317 8400 13329
5691 2460 16077
648 8030 13818
3597 2498 3523
5768 40 9376
5441 5670 4531
480 1988 563
4136 8618 20279
5837 10004 18347
2264 5092 14217
7650 3402 1096
2661 705 10871
7173 9482 15068
1766 4791 9312
3437 8348 17580
9718 7630 883
9306 4436 18577
3794 4519 12379
8319 1051 10418
10365 4046 16924
10497 497 9185
6544 1647 10276
7831 10129 5773
4610 8766 6799
7506 6457 2963
3658 2627 3328
7844 4728 16319
1110 1588 10624
1464 1365 8138
4879 5445 8716
268 9070 20033
8334 6970 9472
7216 10113 17594
2975 4959 18531
5666 8198 7143
5475 8909 2672
8999 10113 10254
6317 4570 11730
8172 8862 6581
47 7425 14937
7143 9305 10798
5361 8785 7588
3428 7653 19771
7148 80 2566
8202 5207 5286
2776 268 12797
8398 8119 14400
7935 1749 11484
4193 8243 16817
8019 7583 14712
10128 5672 7340
3303 4598 4909
6272 7893 10766
6961 3375 9201
3341 866 19458
1781 7603 6660
5977 7756 14797
10372 774 16590
209 4853 8299
3395 2272 11657
904 3004 20424
7537 8825 7376
7 3651 18508
3502 10390 17892
2053 2623 8655
8444 8969 13367
2474 4732 10941
4524 10149 2067
2561 3377 430
9966 4829 2702
10251 2411 7793
5931 2026 3764
302 251 17771
966 8980 11922
4868 10101 16262
7359 2195 1099
8483 1756 14690
6255 3591 11340
9313 2560 16968
2760 2068 17018
6581 9139 10462
3062 333 17225
1791 6110 7635
7853 2734 16434
7800 1668 10392
9866 7280 521
7092 3469 4485
6207 8815 13789
5454 9377 18415
7357 5183 7611
7998 6464 15425
2633 3963 14012
4944 7567 7241
4938 9717 2848
7519 7255 13734
3750 7294 5612
1570 7431 2671
3812 3112 19778
5058 6018 17680
5014 2430 15448
4740 5635 19270
2525 2536 15090
4791 6433 10946
6070 8779 12630
8757 5548 16121
7312 10483 10405
9259 5886 8364
1652 1646 5791
1235 5372 5984
6356 10217 16391
6359 6929 14463
8050 5723 12604
3346 1852 6656
4515 7427 2697
567 357 2313
275 6955 10061
7885 9341 18615
885 9820 5221
383 8711 8150
680 2271 18578
3454 7533 13827
6889 5872 12668
4113 8417 5303
5336 4155 16609
6644 9966 18810
670 2967 10983
5686 4489 18010
4200 6033 1833
1505 9835 16279
969 9695 16113
6893 10463 9863
1151 3364 10506
3912 876 4714
2610 1591 2042
1560 6785 2018
7862 5189 14923
8772 6346 10088
3128 4231 12444
6485 2228 5024
7233 5697 2004
7928 5061 14968
7790 2673 13182
9045 8844 19207
6878 7385 14020
6473 2215 9265
3071 8691 9120
4081 1787 12208
6757 907 9277
779 541 3724
9727 7148 12779
7746 7412 10877
5518 7388 930
9524 10493 18674
1924 10039 2675
7016 7373 15595
2868 1216 17323
8650 9829 13933
8589 2589 19683
2086 8231 12492
8563 7472 82
5494 9738 1578
6065 1211 7638
627 1231 2809
1123 7387 6613
1734 9373 5251
4833 4365 866
8259 611 5929
3578 10271 11334
5993 7738 9005
2334 2424 6580
3128 4568 2036
5192 7065 13909
4373 1586 16234
9905 3336 2020
5587 6763 7137
2192 9000 2019
1394 9031 6334
2043 10250 5402
3591 6127 17697
1458 10089 11774
640 5801 10258
1908 4210 15282
2977 389 8264
4943 8910 14930
10251 7875 4855
2808 10341 2234
865 8289 6748
3361 2307 2069
4962 3562 6189
2292 7972 10277
8670 413 4656
6908 9605 6654
1130 9368 2746
5090 4670 11264
1827 4788 2051
4536 4608 18772
262 3212 18167
2270 8563 17248
1868 7791 10138
1644 2913 20708
9471 372 207
7706 4143 9949
8189 8860 13174
1701 1024 931
3688 7599 2632
3869 1038 18598
876 2928 11283
1250 9986 7072
7078 5709 12812
3560 8976 20038
1923 10328 2371
3263 6882 11322
2200 3711 3645
4395 9285 6518
176 3575 16599
4227 3129 12361
4978 9936 18301
6132 7676 11106
3224 6213 17386
10471 547 5940
1684 4715 14857
9508 1209 18000
2928 339 2271
9264 7319 1284
1214 3535 8063
9092 3191 10003
7132 6838 17089
2988 4164 18229
9293 10494 6548
7684 1209 14156
8713 4939 8206
7005 4532 13796
5774 424 3106
10497 6861 20928
8924 10343 20244
1150 3529 9464
3310 9163 6538
6026 7728 19295
614 3752 20642
4165 9741 12602
7814 9932 19397
703 8873 1772
7469 9078 18399
1119 3697 12174
7258 700 19961
7711 941 10670
10045 10088 18422
115 5387 3063
937 1360 9603
7117 4051 6889
9982 3092 5373
1524 8503 15350
1504 1956 567
3504 2483 2209
4654 4071 17051
6624 8323 20513
3505 1473 13721
905 3580 5415
7987 5592 20417
8731 2018 5366
7102 6415 19151
3708 1867 3659
6733 6567 16985
4233 7575 14748
7268 7822 18276
792 2814 7628
9944 6889 799
241 2773 13555
1238 8395 6914
1096 6413 16501
1938 6232 17776
8328 4138 9731
6825 1982 19403
3979 7451 4268
3138 4905 2897
9067 9478 8141
4365 8678 13021
2908 8139 1088
321 2526 11240
5380 4485 18036
6942 2788 11989
3434 9439 12433
3804 10465 20682
8505 8582 6130
2394 6379 19474
1093 9158 17408
1500 5188 12022
7369 1869 8482
7370 7208 7376
5264 8232 12360
2460 2095 13328
2463 2344 18473
3481 2362 10305
7429 5448 9022
743 2343 705
5954 8313 6480
9332 4747 20504
9055 627 15923
7590 4339 11287
2212 4815 11768
6744 5655 7052
2558 7327 19458
3473 4842 11785
7487 974 15686
9927 4378 17932
8786 1141 10803
2714 3091 3932
8177 9617 5565
7901 2910 2981
8340 4333 13968
3375 5496 11941
6253 1753 4800
9538 9879 17548
9837 6559 11573
5279 8701 13827
3080 7742 5129
3574 3689 5658
6666 537 2228
6156 2432 20204
2377 969 13144
2311 2793 20105
7483 3951 9220
4247 2378 4881
6119 9358 4447
6943 277 5688
6598 6447 9828
6881 9921 9109
2792 5317 6313
9559 1992 15891
2702 9223 462
1808 9084 11966
3934 9481 3609
1310 5860 1977
5749 1014 6108
4177 7382 9272
1773 5976 17302
2390 331 20335
9179 9135 16712
3606 9084 18861
9340 5807 18058
4846 2923 17811
2372 112 20266
680 4588 6269
5102 1968 20128
7068 4757 174
6653 5604 20807
3857 1583 3013
6492 6787 15237
7014 6789 9371
2933 2752 8158
645 3884 18605
8800 9553 9079
7362 2839 5901
3556 2170 1191
7790 2298 3556
1108 973 4006
10455 3886 8166
6263 5254 10226
1669 8763 82
5810 3343 20772
6278 1595 1960
4738 6026 4520
2209 8504 7513
8693 8023 2062
61 7793 1642
7536 8347 3816
9196 9298 20195
10073 946 20974
7727 928 3296
5479 2765 10538
3828 3605 20733
10432 6675 12616
7513 4852 16519
1861 2121 9230
1245 1351 7224
9499 8298 14745
7660 9345 9791
4672 10267 10515
3257 4817 8871
3092 7662 3717
7791 4294 5304
9081 9459 10608
5086 5684 18014
9626 244 912
3063 535 19473
9242 8985 18368
4451 1683 16562
2906 8196 1733
447 3028 20337
7664 10123 8339
9276 2046 17449
10392 4971 7546
6153 7947 2887
1553 9302 20569
6524 947 3105
8659 7512 6927
5632 7547 10288
3927 8728 9847
9909 2600 833
5471 9124 1231
2764 5386 2895
6896 843 13064
5339 7504 19999
5340 1446 19728
2579 10284 6311
7823 5841 11724
4906 342 16827
5789 5294 4342
4810 4373 865
4630 9981 6111
2011 3247 1317
2890 9630 10707
8866 9439 12568
6309 7968 8699
9696 9860 4155
2662 943 7171
2770 6910 7826
9596 1152 855
7100 4896 11997
38 990 1182
10365 795 17163
3878 6139 12098
5792 10332 18209
10369 1455 15543
2659 4488 12355
997 373 6193
7822 2430 13979
1204 6222 16942
10076 6008 624
6931 5577 11523
4221 2201 2227
10444 2918 1774
9098 8600 4459
4970 3216 9073
6730 1068 7634
9990 4328 1117
6763 9999 13476
9266 2642 20722
9443 460 13813
6598 10175 8551
9486 388 8781
448 7894 15733
5217 6942 11829
9669 7471 11822
3296 3143 13116
7403 4727 19018
4484 911 9110
5297 1977 7545
3518 397 4306
118 793 19263
2603 6491 3022
7491 6356 1488
8360 4084 20947
9881 3415 20974
4034 1642 4682
1368 6694 9719
3062 2206 4812
7878 1717 404
5289 6240 14637
924 4213 9810
8670 5577 3394
6515 5766 18960
6274 5283 20938
2979 8276 16169
1871 9064 8604
10230 329 12916
1160 2133 17507
2667 5736 3106
9162 7598 13812
3008 8097 2845
1476 1986 15475
7047 4174 13500
6123 6989 18403
1129 6514 6978
6320 2421 17370
1389 4728 3243
3819 7653 18511
2233 5770 9935
52 9826 13162
9776 1518 1873
10393 6320 15305
3447 2248 8617
7441 10262 4457
2949 8375 13443
2866 1273 15987
9842 4870 15714
7254 9733 2868
9856 2864 2581
748 4275 19042
8910 3502 10077
8371 2256 14783
1893 3793 14824
6917 5256 16149
6761 10150 10525
1364 8506 12870
3448 413 20694
9247 9522 6245
7633 704 14391
849 6877 6524
1597 6831 17459
4862 3560 9309
8904 1183 1306
2342 6116 861
7750 1390 13116
6181 9439 7401
8735 2035 1275
8029 3949 5920
8437 4403 13347
6701 5904 4720
9627 9584 13701
2825 7450 11186
6115 6421 9178
738 3680 5927
9490 6255 8172
1356 6514 19513
10181 5567 3111
7640 2644 4121
9157 10443 17725
4919 4157 2685
63 2266 20279
9014 8151 1582
3277 2723 9536
5467 2091 7842
2443 5236 18158
1661 9912 2155
2020 8557 1583
6631 9239 13657
10410 8897 2309
6757 3511 8467
4140 2542 7797
3438 9610 13252
2895 10268 15926
7992 8980 8971
276 4882 18479
7512 1251 17297
5512 9419 9878
3770 9023 11687
8482 143 15711
2708 2284 13203
5232 1182 16221
1931 9129 1746
7357 2661 9892
4926 5120 2226
5599 6186 20085
6979 5998 10785
9829 9434 17927
10100 2274 18833
9009 18 3845
10353 4214 1352
6419 3011 2052
9416 6711 11568
10065 6903 1119
3828 4759 16032
3007 4716 8749
5505 1017 12690
6029 6694 4712
8649 7973 16694
4465 8180 14236
5199 5431 8755
6125 3458 19932
7271 762 15411
7800 1882 19981
1061 4815 14230
9374 4338 6878
1281 94 3848
5368 1082 14951
5953 8143 19614
7401 1901 15652
7709 3398 17067
8262 497 8861
61 2356 1779
1295 10316 18023
1126 5625 12279
6243 8231 9445
5725 3399 1827
4132 57 11837
1197 116 18615
2677 355 1628
7397 803 1231
6600 818 15766
6007 8288 9246
1123 2336 1175
9659 8458 4886
5704 5860 16141
7217 3515 3658
9895 448 16007
10259 2744 16564
9512 6056 19123
5039 904 13311
2252 5843 9586
5798 8129 3180
1766 86 1474
1349 2508 4863
10496 10024 14711
9660 5364 4694
727 3962 966
5400 6077 12963
9452 9069 5605
4684 2142 10811
9418 2167 17392
3389 8546 5112
6509 3882 10148
7078 7419 15243
7339 4647 2333
6203 2058 10695
9104 5869 20585
5712 4628 16788
7417 7311 1828
5184 8397 2888
7733 433 14986
3834 9757 17492
5682 6402 4362
7455 8835 16318
10353 1312 19217
6359 8232 10002
860 4464 6700
4619 5865 16142
940 9503 7940
10022 9610 9931
5458 10279 7805
1149 10364 7521
10492 7900 832
145 9745 8934
9221 7735 1453
5841 6036 9121
4000 8041 5340
7682 7895 11310
3162 9335 7743
5047 1451 19655
2150 1558 2484
4781 3859 17471
933 5323 3351
8800 21 14171
4173 195 6974
1369 6017 19872
7859 728 16258
3301 6452 2996
7625 9662 15070
9187 3860 8573
503 1945 14348
10480 9210 8673
8339 2266 13543
466 6499 2232
9261 6619 4792
393 800 9201
9867 3801 20793
1606 8690 12712
5476 9411 160
9523 5152 11376
305 2385 14024
5062 1871 20869
9333 3781 5053
4556 6316 19334
7033 10055 9693
2632 8678 2259
5006 9224 7136
364 6418 797
2538 10282 16729
7777 6491 16099
609 4040 6978
649 2637 12946
4229 2008 48
6050 8341 2545
10118 7108 13380
5018 3908 19670
5607 3618 9364
2775 6448 8432
3637 600 20181
9899 3734 20948
1520 3150 7602
9748 6997 6554
7744 3820 5827
8485 4916 7141
1037 5811 14163
9227 5713 18993
5031 8166 1985
1492 9533 17554
4987 7629 18215
1448 4670 4200
457 4714 11922
5554 8875 20019
5630 2877 4388
4735 1121 2642
2340 9488 18195
10498 10156 3739
5669 8661 10677
4703 6859 19441
7336 4051 19912
1944 5838 20785
9650 1698 20892
1910 1786 7446
5124 3894 8977
10087 1238 4601
6117 8179 15481
9920 4352 15255
5776 6712 9102
8212 7360 18249
1356 2921 4570
4850 1197 17344
7688 3076 14849
1408 8511 15513
706 10482 7335
4804 5057 2092
9664 8488 3588
3091 8207 17896
