23500 21436
9594 9483 26292
11666 19721 46387
1027 20046 38172
21262 1877 16390
3041 6329 13899
10284 5431 31956
16757 5522 3771
8218 12893 32216
21450 2186 44051
19859 7479 16654
8341 6310 30524
12262 4013 5653
12543 21713 6249
3684 10021 43517
8755 12358 22102
6841 16537 43005
17957 22 18947
15477 7088 45575
17156 13417 7067
13502 11422 39549
5925 17110 26709
4157 16477 45097
3556 2792 24380
6070 16521 43940
3787 4289 7343
19098 14426 40073
5942 4743 23885
23043 4454 11409
7072 18750 32742
13003 19111 7860
12538 5947 27514
2076 8702 20959
573 8652 45113
9638 2773 12096
8043 21393 29780
23311 10372 35261
3985 19515 34042
5872 16185 37056
7517 23486 32648
9684 3630 13985
8763 9818 26631
4751 2602 30696
9791 13900 831
9204 18441 17049
15217 20825 515
18268 8122 2895
21545 2331 4526
18325 15894 19573
15120 19108 16777
22616 1932 34172
4873 12622 35562
4616 11952 46949
21078 1066 15980
150 20108 14411
23422 411 14355
5694 22137 37154
19030 6722 36043
13893 19221 36008
9592 23183 29634
13340 11532 10064
1463 22150 7897
6821 18474 38978
311 6187 8300
7921 17667 18077
18897 5456 37833
18746 13473 24879
22545 22295 31994
13029 629 19204
18957 19119 6303
18743 11254 44422
21343 21330 37180
4716 5512 24274
23117 8790 21433
4489 17635 10179
4360 10245 31051
6886 11563 39810
7316 16689 5665
18271 9354 31930
3879 15712 37825
22517 9431 42065
18717 15135 26071
11038 12800 10654
19613 11465 25982
15120 10873 36759
7264 2499 13848
21865 4613 44559
18741 4910 38674
11311 6201 30576
10213 19094 15750
23263 3495 44566
13519 6922 1717
12600 17767 41396
23341 16136 43355
1092 19577 22600
18422 1222 34816
2269 12001 20
4652 8905 27615
8570 21659 45139
8187 2021 41003
5387 12589 40246
15015 15346 24897
21386 2291 9674
2348 3122 22344
14910 7523 10423
19629 1224 41323
8496 22067 18436
6372 393 31005
1767 7466 15426
7527 19208 3418
13458 5232 12683
6555 14021 14151
1276 3809 38206
2583 22309 46962
11821 22030 14482
21136 1007 41148
20961 3091 25521
6968 12867 2043
4759 9708 46841
9247 547 25404
12486 13612 27560
526 16968 32499
18469 8395 31135
634 10249 34088
15278 23423 27013
22047 8060 9531
8922 3908 42558
11933 8778 34060
17115 23437 13810
8200 10367 25645
21717 9347 37527
9754 10970 9371
22267 1210 11589
19661 23315 11242
18988 4517 39570
21233 17516 41297
7712 10835 39185
3534 5418 30851
2926 19707 37017
11079 18679 18436
6608 9028 20568
7317 6237 44154
2910 5821 37520
22431 15970 41387
22454 3646 22678
15760 10862 685
1165 7767 26894
18818 4117 13325
8743 8280 6606
20749 11261 13490
1304 13752 6321
6105 19580 15422
1651 7057 21710
22283 6693 1108
8644 5035 36911
8885 8384 35791
12007 21841 2188
7430 13765 36366
15847 11804 19756
13423 18427 1793
18542 20647 27925
5650 17149 40757
3313 9779 34003
2904 6999 15525
2852 22339 15700
13555 6284 15783
12953 15114 21762
6567 11789 10206
4510 19405 19935
18138 22933 38345
18247 1778 21344
6273 3541 20725
9547 19149 10839
15778 9657 17706
19413 10330 4283
14790 7151 35627
6848 8367 13320
17120 258 3712
17964 10123 3045
18144 13706 615
3055 18871 11541
17118 9492 26392
23488 16155 44012
9516 11119 19503
